region,province,city,position,district,candidate_name,party,votes,rank,raw_position
BARMM,MAGUINDANAO,PAGAGAWAN,MAYOR,,"MONTAWAL, OHTO",NP,14518,1,MAYOR MAGUINDANAO - PAGAGAWAN
BARMM,MAGUINDANAO,PAGALUNGAN,MAYOR,,"MAMASABULOD, NORSIDA",UBJP,79,1,MAYOR MAGUINDANAO - PAGALUNGAN
BARMM,MAGUINDANAO,PAGLAT,MAYOR,,"KAMAMA, WINGKI",PROMDI,741,1,MAYOR MAGUINDANAO - PAGLAT
BARMM,MAGUINDANAO,PANDAG,MAYOR,,"ADAM, SUKARNO",PDSP,9,1,MAYOR MAGUINDANAO - PANDAG
BARMM,MAGUINDANAO,PARANG,MAYOR,,"ALI, ETAW",KBL,20,1,MAYOR MAGUINDANAO - PARANG
BARMM,MAGUINDANAO,RAJAH BUAYAN,MAYOR,,"AMPATUAN, BAI PUTI",LAKAS,15,1,MAYOR MAGUINDANAO - RAJAH BUAYAN
BARMM,MAGUINDANAO,SHARIFF AGUAK,MAYOR,,"AMPATUAN, AKMAD",NP,15753,1,MAYOR MAGUINDANAO - SHARIFF AGUAK
BARMM,MAGUINDANAO,SHARIFF SAYDONA MUSTAPHA,MAYOR,,"AMPATUAN, SAJID ANDRE",NP,8022,1,MAYOR MAGUINDANAO - SHARIFF SAYDONA MUSTAPHA
BARMM,MAGUINDANAO,SOUTH UPI,MAYOR,,"ESTORNINOS, MIMI",PROMDI,3143,1,MAYOR MAGUINDANAO - SOUTH UPI
BARMM,MAGUINDANAO,SULTAN KUDARAT,MAYOR,,"EBRAHIM, DATU ESMAIL",IND,161,1,MAYOR MAGUINDANAO - SULTAN KUDARAT
BARMM,MAGUINDANAO,SULTAN MASTURA,MAYOR,,"MASTURA, JUNIOR",PDPLBN,5795,1,MAYOR MAGUINDANAO - SULTAN MASTURA
BARMM,MAGUINDANAO,SULTAN SA BARONGIS,MAYOR,,"ANGAS, ALLANDATU SR.",NP,4429,1,MAYOR MAGUINDANAO - SULTAN SA BARONGIS
BARMM,MAGUINDANAO,TALAYAN,MAYOR,,"KOMPANIA, HADJI AKMAD",UBJP,66,1,MAYOR MAGUINDANAO - TALAYAN
BARMM,MAGUINDANAO,TALITAY,MAYOR,,"AMERIL, SURAIDA",NP,154,1,MAYOR MAGUINDANAO - TALITAY
BARMM,MAGUINDANAO,UPI,MAYOR,,"FLORES, TINTIN",UBJP,19834,1,MAYOR MAGUINDANAO - UPI
BARMM,SULU,HADJI PANGLIMA TAHIL,MAYOR,,"BURAHAN, MOH. MUSTAFA",PDPLBN,4848,1,MAYOR SULU - HADJI PANGLIMA TAHIL
BARMM,SULU,INDANAN,MAYOR,,"JIKIRI, HERMOT",PDPLBN,28754,1,MAYOR SULU - INDANAN
BARMM,SULU,JOLO,MAYOR,,"TAN, KERKHAR",PDPLBN,33180,1,MAYOR SULU - JOLO
BARMM,SULU,KALINGALAN CALUANG,MAYOR,,"HALUN, NURSHAMIER",PDPLBN,15128,1,MAYOR SULU - KALINGALAN CALUANG
BARMM,SULU,LUGUS,MAYOR,,"ASMADUN, ABDULSALI",PFP,1732,1,MAYOR SULU - LUGUS
BARMM,SULU,LUUK,MAYOR,,"ARBISON, MARYAM",PDPLBN,23873,1,MAYOR SULU - LUUK
BARMM,SULU,MAIMBUNG,MAYOR,,"HAYUDINI, SHIHLA",PDPLBN,31329,1,MAYOR SULU - MAIMBUNG
BARMM,SULU,OLD PANAMAO,MAYOR,,"ABDURAJAK, AL-FRAZIER",PDPLBN,16495,1,MAYOR SULU - OLD PANAMAO
BARMM,SULU,OMAR,MAYOR,,"AJIBON, ABDULBAKI",PDPLBN,7626,1,MAYOR SULU - OMAR
BARMM,SULU,PANDAMI,MAYOR,,"BERTO, NURHAN",PDPLBN,11645,1,MAYOR SULU - PANDAMI
BARMM,SULU,PANGLIMA ESTINO,MAYOR,,"ESTINO, MUNIB",PDPLBN,8449,1,MAYOR SULU - PANGLIMA ESTINO
BARMM,SULU,PANGUTARAN,MAYOR,,"ASTA, SALAM",PFP,2344,1,MAYOR SULU - PANGUTARAN
BARMM,SULU,PARANG,MAYOR,,"LOONG, ALKHADAR",PDPLBN,13826,1,MAYOR SULU - PARANG
BARMM,SULU,PATA,MAYOR,,"BURAHAN, ABDURAUF",PDPLBN,6776,1,MAYOR SULU - PATA
BARMM,SULU,PATIKUL,MAYOR,,"HAYUDINI, KABIR",PDPLBN,32806,1,MAYOR SULU - PATIKUL
BARMM,SULU,SIASI,MAYOR,,"ALIMUDDIN, NURHANINA",IND,54,1,MAYOR SULU - SIASI
BARMM,SULU,TALIPAO,MAYOR,,"TULAWIE, NEZAR",PDPLBN,28105,1,MAYOR SULU - TALIPAO
BARMM,SULU,TAPUL,MAYOR,,"DAUD, NASSER JR",PDPLBN,9670,1,MAYOR SULU - TAPUL
BARMM,SULU,TONGKIL,MAYOR,,"SAHIDULLA, NIKEE",PDPLBN,12590,1,MAYOR SULU - TONGKIL
BARMM,TAWI-TAWI,BONGAO,MAYOR,,"QUE, JIMUEL",TOP,41926,1,MAYOR TAWI-TAWI - BONGAO
BARMM,TAWI-TAWI,LANGUYAN,MAYOR,,"SALI, ABDUHASAN ISMAIL",NUP,18082,1,MAYOR TAWI-TAWI - LANGUYAN
BARMM,TAWI-TAWI,MAPUN,MAYOR,,"ALPAD, ANGGAH",IND,108,1,MAYOR TAWI-TAWI - MAPUN
