province,city,position,district,candidate_name,party,votes,rank
LEYTE,ABUYOG,MAYOR,,"TRAYA, LEMUEL GIN",NPC,20192,188793
LEYTE,ALANGALANG,MAYOR,,"YU, LOVELY",NPC,28124,181585
LEYTE,ALBUERA,MAYOR,,"ESPINOSA, KERWIN",IND,14919,181830
LEYTE,BABATNGON,MAYOR,,"LUGNASIN, LENY",NPC,10270,187065
LEYTE,BARUGO,MAYOR,,"BALAIS, DOC ARON",PRP,13079,184597
LEYTE,BATO,MAYOR,,"GERTOS, NAEL",NPC,16037,184351
LEYTE,BURAUEN,MAYOR,,"RENOMERON, FE",NPC,17172,188545
LEYTE,CALUBIAN,MAYOR,,"BATIANCELA, BEBE",NUP,12942,186816
LEYTE,CAPOOCAN,MAYOR,,"CAROLINO, ERIC",NPC,11504,186569
LEYTE,CARIGARA,MAYOR,,"ONG, ED",NPC,20673,183592
LEYTE,CITY OF BAYBAY,MAYOR,,"CARI, BOYING",NPC,46828,185098
LEYTE,CITY OF TACLOBAN,MAYOR,,"ROMUALDEZ, ALFRED",NP,78193,183337
LEYTE,DAGAMI,MAYOR,,"SUDARIO, JINGLE",IND,12646,182093
LEYTE,DULAG,MAYOR,,"AGULLO, JADE",AKSYON,17640,181337
LEYTE,HILONGOS,MAYOR,,"VILLAHERMOSA, BENTONG",NPC,31835,186328
LEYTE,HINDANG,MAYOR,,"CABAL, JUN",NPC,7179,188048
LEYTE,INOPACAN,MAYOR,,"LUMARDA, ANDY",NPC,7893,179602
LEYTE,ISABEL,MAYOR,,"PONGOS, BENNET",PFP,16400,179350
LEYTE,JARO,MAYOR,,"TAÑALA, JASSIE LOU",NPC,17003,182345
LEYTE,JAVIER,MAYOR,,"JAVIER, MARK",NPC,13870,187561
LEYTE,JULITA,MAYOR,,"ROMUALDEZ, JUDE",AKSYON,4421,183857
LEYTE,KANANGA,MAYOR,,"TORRES, MATT",PFP,20422,182596
LEYTE,LA PAZ,MAYOR,,"GO, ARACELI",LAKAS,8879,184108
LEYTE,LEYTE,MAYOR,,"GRANADOS, JED",NUP,13054,185838
LEYTE,MACARTHUR,MAYOR,,"BARANDA, INTOY",LAKAS,9133,187313
LEYTE,MAHAPLAG,MAYOR,,"SOLIS, MYRA",NPC,11798,180844
LEYTE,MATAG-OB,MAYOR,,"TACOY, BERNIE-BGT",NUP,7009,185341
LEYTE,MATALOM,MAYOR,,"PAJULIO, ERIC",NPC,16700,186088
LEYTE,MAYORGA,MAYOR,,"DE PAZ, ALEXANDER",NPC,9274,183095
LEYTE,MERIDA,MAYOR,,"VILLASENCIO, ROLANDO",NUP,10285,179850
LEYTE,ORMOC CITY,MAYOR,,"GOMEZ, LUCY",PFP,89123,187795
LEYTE,PALO,MAYOR,,"PETILLA, MATIN",NPC,28084,180356
LEYTE,PALOMPON,MAYOR,,"OÑATE, DM",PRP,23144,180100
LEYTE,PASTRANA,MAYOR,,"MARCOS, MARITESS",NPC,8722,184846
LEYTE,SAN ISIDRO,MAYOR,,"VELOSO, BEBOT",PFP,11556,182846
LEYTE,SAN MIGUEL,MAYOR,,"SABDAO, NORMAN",LAKAS,8908,179097
LEYTE,SANTA FE,MAYOR,,"MONTEZA, AMPARO",LAKAS,8754,180599
LEYTE,TABANGO,MAYOR,,"REMANDABAN, BENJO",AKSYON,11806,181091
LEYTE,TABONTABON,MAYOR,,"JUSTIMBASTE, ARIEL",LAKAS,5417,188300
LEYTE,TANAUAN,MAYOR,,"MERILO, GINA",NPC,17977,185589
MAGUINDANAO DEL NORTE,BARIRA,MAYOR,,"DAGALANGIT, BAHRAIN",UBJP,11871,262742
MAGUINDANAO DEL NORTE,BULDON,MAYOR,,"MANALAO, PAHMIA",PFP,13345,260773
MAGUINDANAO DEL NORTE,CITY OF COTABATO,MAYOR,,"MATABALAO, BRUCE",UBJP,45578,261575
MAGUINDANAO DEL NORTE,DATU BLAH T. SINSUAT,MAYOR,,"SINSUAT, RAIDA",UBJP,11891,261047
MAGUINDANAO DEL NORTE,DATU ODIN SINSUAT,MAYOR,,"SINSUAT, BOBSTEEL",UBJP,15825,261306
MAGUINDANAO DEL NORTE,KABUNTALAN,MAYOR,,"DIOCOLANO, DATU RAHAF",UBJP,12058,260232
MAGUINDANAO DEL NORTE,MATANOG,MAYOR,,"ALI, SANAIRA",PFP,12356,262161
MAGUINDANAO DEL NORTE,NORTHERN KABUNTALAN,MAYOR,,"DILANGALEN, DATU UMBRA",PFP,6280,260491
MAGUINDANAO DEL NORTE,PARANG,MAYOR,,"ALI, MAHAL",PFP,30772,263039
MAGUINDANAO DEL NORTE,SULTAN KUDARAT,MAYOR,,"MASTURA, DATU SHAMEEM",PFP,56243,262466
MAGUINDANAO DEL NORTE,SULTAN MASTURA,MAYOR,,"MASTURA, ARMANDO",LAKAS,6187,259630
MAGUINDANAO DEL NORTE,TALITAY,MAYOR,,"AMERIL, MUSA",UMP,6198,259944
MAGUINDANAO DEL NORTE,UPI,MAYOR,,"PIANG-FLORES, TINTIN",UBJP,21067,261867
MAGUINDANAO DEL SUR,AMPATUAN,MAYOR,,"SANGKI, DATU RASUL",NP,14757,269048
MAGUINDANAO DEL SUR,BULUAN,MAYOR,,"MANGUDADATU, IBRAHIM",PFP,12633,271204
MAGUINDANAO DEL SUR,DATU ABDULLAH SANGKI,MAYOR,,"MANGUDADATU, DATU WALI",ITIHAD,30751,270401
MAGUINDANAO DEL SUR,DATU ANGGAL MIDTIMBANG,MAYOR,,"MIDTIMBANG, DATU NATH",PFP,16950,273101
MAGUINDANAO DEL SUR,DATU HOFFER AMPATUAN,MAYOR,,"AMPATUAN, BONG",UNA,9263,269593
MAGUINDANAO DEL SUR,DATU PAGLAS,MAYOR,,"PAGLAS, ABUBAKAR",LAKAS,10491,273364
MAGUINDANAO DEL SUR,DATU PIANG,MAYOR,,"SAMAMA, OMAR",UBJP,6560,271750
MAGUINDANAO DEL SUR,DATU SAUDI AMPATUAN,MAYOR,,"ALIM, MOADZ",UBJP,8093,270928
MAGUINDANAO DEL SUR,DATU UNSAY,MAYOR,,"AMPATUAN, DATU ANDAL V",NP,9944,268501
MAGUINDANAO DEL SUR,GEN. S. K. PENDATUN,MAYOR,,"ALI, MIELYN",IND,14925,272546
MAGUINDANAO DEL SUR,GUINDULUNGAN,MAYOR,,"MIDTIMBANG, MIDPANTAO JR.",PFP,10354,270663
MAGUINDANAO DEL SUR,MAMASAPANO,MAYOR,,"AMPATUAN, AKMAD JR.",NP,12702,272024
MAGUINDANAO DEL SUR,MANGUDADATU,MAYOR,,"MANGUDADATU, BAI KULEH",PFP,11690,271482
MAGUINDANAO DEL SUR,PAGAGAWAN,MAYOR,,"MONTAWAL, OHTO",LAKAS,16448,270125
MAGUINDANAO DEL SUR,PAGALUNGAN,MAYOR,,"MAMASABULOD, ABDILAH",AKSYON,21922,272293
MAGUINDANAO DEL SUR,PAGLAT,MAYOR,,"LANGKUNO, RAISA",PFP,4304,268767
MAGUINDANAO DEL SUR,PANDAG,MAYOR,,"BALAYMAN, ODJIE",UMP,5234,269319
MAGUINDANAO DEL SUR,RAJAH BUAYAN,MAYOR,,"MASTURA, BAI MARUJA",PFP,5007,272807
MAGUINDANAO DEL SUR,SHARIFF AGUAK,MAYOR,,"AMPATUAN, DATU OPING",LAKAS,14111,269862
MARINDUQUE,BOAC,MAYOR,,"SEÑO, KUYA MARK",PFP,17503,306276
MARINDUQUE,BUENAVISTA,MAYOR,,"SIENA, EDUARD",IND,8570,304970
MARINDUQUE,GASAN,MAYOR,,"BALDO, LIDANY",ABC,11126,305228
MARINDUQUE,MOGPOG,MAYOR,,"LIVELO, LEO",IND,13471,305753
MARINDUQUE,SANTA CRUZ,MAYOR,,"MANUEL, KUYA BOBS",IND,19264,305491
MARINDUQUE,TORRIJOS,MAYOR,,"FRIAS, EDMAR",ABC,11609,306012
MASBATE,AROROY,MAYOR,,"VIRTUCIO, BITOY",LAKAS,31519,129766
MASBATE,BALENO,MAYOR,,"DELA ROSA, ROMEO",LAKAS,9312,129263
MASBATE,BALUD,MAYOR,,"ESTRELLA, DONDON",LAKAS,14080,132775
MASBATE,BATUAN,MAYOR,,"YUSON, MAC-MAC",LAKAS,6867,129512
MASBATE,CATAINGAN,MAYOR,,"ADOPTANTE, ALVIN",LAKAS,17637,128521
MASBATE,CAWAYAN,MAYOR,,"CONDOR, EDGAR",LAKAS,28935,130507
MASBATE,CITY OF MASBATE,MAYOR,,"KHO, ARA",LAKAS,41391,130760
MASBATE,CLAVERIA,MAYOR,,"BALLESTEROS, KAREN",PDPLBN,11632,131019
MASBATE,DIMASALANG,MAYOR,,"LIM, DOK FRED",LAKAS,9060,131519
MASBATE,ESPERANZA,MAYOR,,"TALISIC, JJ",LAKAS,6988,128274
MASBATE,MANDAON,MAYOR,,"HAO-KHO, TINTIN",LAKAS,19141,132274
MASBATE,MILAGROS,MAYOR,,"MAGBALON, NATIVIDAD",LAKAS,19253,133279
MASBATE,MOBO,MAYOR,,"SALVACION, DONI",LAKAS,12926,133024
MASBATE,MONREAL,MAYOR,,"VILLAHERMOSA, GLENDA",LAKAS,9042,132521
MASBATE,PALANAS,MAYOR,,"ALVAREZ, ROSCELLE",LAKAS,13439,128763
MASBATE,PIO V. CORPUS,MAYOR,,"ANTONIO, MARK",LAKAS,9935,131772
MASBATE,PLACER,MAYOR,,"DUMORAN, DONDON",LAKAS,21108,132016
MASBATE,SAN FERNANDO,MAYOR,,"MOGUEIS, BABY",LAKAS,9432,129010
MASBATE,SAN JACINTO,MAYOR,,"ARCENAS, LENY",LAKAS,11881,130258
MASBATE,SAN PASCUAL,MAYOR,,"LAZARO, ERIKA",LAKAS,15450,130009
MASBATE,USON,MAYOR,,"SANCHEZ, EPING",LAKAS,18648,131273
MISAMIS OCCIDENTAL,ALORAN,MAYOR,,"ROA, JUNIPHER",ASPIN,14618,159831
MISAMIS OCCIDENTAL,BALIANGAO,MAYOR,,"YAP, AGNE SR.",ASPIN,8542,160595
MISAMIS OCCIDENTAL,BONIFACIO,MAYOR,,"MANZO, FE",ASPIN,14240,160334
MISAMIS OCCIDENTAL,CALAMBA,MAYOR,,"VILLANUEVA, JUNJUN",ASPIN,11832,158804
MISAMIS OCCIDENTAL,CITY OF OROQUIETA,MAYOR,,"ACOSTA, LEMUEL MEYRICK",ASPIN,35238,161351
MISAMIS OCCIDENTAL,CITY OF OZAMIS,MAYOR,,"FUENTES, SAM",ASPIN,77533,161100
MISAMIS OCCIDENTAL,CITY OF TANGUB,MAYOR,,"CANAMA, BEN",ASPIN,33291,158541
MISAMIS OCCIDENTAL,CLARIN,MAYOR,,"ROA, JOJO",ASPIN,20881,160081
MISAMIS OCCIDENTAL,CONCEPCION,MAYOR,,"VIÑA, JESSE",ASPIN,2774,162120
MISAMIS OCCIDENTAL,DON VICTORIANO CHIONGBIAN,MAYOR,,"PONDARA, LOLOY",ASPIN,5309,160848
MISAMIS OCCIDENTAL,JIMENEZ,MAYOR,,"CHIONG, JOSELITO",ASPIN,11218,161604
MISAMIS OCCIDENTAL,LOPEZ JAENA,MAYOR,,"GERBESE, BONJING",ASPIN,12628,161865
MISAMIS OCCIDENTAL,PANAON,MAYOR,,"PAYLAGA, JUN",ASPIN,5732,162368
MISAMIS OCCIDENTAL,PLARIDEL,MAYOR,,"HANDUMON, GADWIN",ASPIN,14491,159572
MISAMIS OCCIDENTAL,SAPANG DALAGA,MAYOR,,"ANIMAS, DAWN",ASPIN,11011,159052
MISAMIS OCCIDENTAL,SINACABAN,MAYOR,,"LOOD, DELLO",ASPIN,10968,162617
MISAMIS OCCIDENTAL,TUDELA,MAYOR,,"OBUT-ESTAÑO, CHA",ASPIN,15323,159312
MISAMIS ORIENTAL,ALUBIJID,MAYOR,,"AKUT, PIPIP",NP,12867,150059
MISAMIS ORIENTAL,BALINGASAG,MAYOR,,"QUINA, ALEXIS",NUP,26165,152382
MISAMIS ORIENTAL,BALINGOAN,MAYOR,,"UNABIA, CANDY",LAKAS,5224,151867
MISAMIS ORIENTAL,BINUANGAN,MAYOR,,"LUSTERIO, DANN-DANN",LAKAS,5104,149538
MISAMIS ORIENTAL,CITY OF CAGAYAN DE ORO,MAYOR,,"RODRIGUEZ, BEBOT",CDP,243080,152634
MISAMIS ORIENTAL,CITY OF EL SALVADOR,MAYOR,,"ESTRADA, LOLOY",NP,31170,146700
MISAMIS ORIENTAL,CITY OF GINGOOG,MAYOR,,"CAÑOSA, ERICK",LAKAS,68934,149795
MISAMIS ORIENTAL,CLAVERIA,MAYOR,,"AZCUNA, ALFRED",NP,22200,150574
MISAMIS ORIENTAL,GITAGUM,MAYOR,,"DABLIO, APRIL",KNP,8810,148255
MISAMIS ORIENTAL,INITAO,MAYOR,,"ACAIN, GOGOY",NP,16519,148511
MISAMIS ORIENTAL,JASAAN,MAYOR,,"JARDIN, REDENTOR",LAKAS,17446,152119
MISAMIS ORIENTAL,KINOGUITAN,MAYOR,,"LAGBAS, JUNJUN",NUP,6297,149015
MISAMIS ORIENTAL,LAGONGLONG,MAYOR,,"CAPISTRANO, ANJO",NUP,8572,150832
MISAMIS ORIENTAL,LAGUINDINGAN,MAYOR,,"MACUA, ROY",NUP,11030,150317
MISAMIS ORIENTAL,LIBERTAD,MAYOR,,"MAGALLANES, SHARON",NP,6695,147738
MISAMIS ORIENTAL,LUGAIT,MAYOR,,"LIM, LOLOY",LAKAS,7379,151091
MISAMIS ORIENTAL,MAGSAYSAY,MAYOR,,"BUHISAN, CHARLIE",LAKAS,8651,151606
MISAMIS ORIENTAL,MANTICAO,MAYOR,,"TAN, STEPHEN",LAKAS,15726,148757
MISAMIS ORIENTAL,MEDINA,MAYOR,,"CHAN, MARRIANE",LAKAS,13935,147994
MISAMIS ORIENTAL,NAAWAN,MAYOR,,"ROA, DENNIS",LAKAS,9577,151350
MISAMIS ORIENTAL,OPOL,MAYOR,,"DAROY, VOX",NP,20715,153186
MISAMIS ORIENTAL,SALAY,MAYOR,,"CAPISTRANO, JUN",NUP,12293,152926
MISAMIS ORIENTAL,SUGBONGCOGON,MAYOR,,"LAGBAS, DUDS",NP,4060,147474
MISAMIS ORIENTAL,TAGOLOAN,MAYOR,,"EMANO, NADYA",LAKAS,34108,147216
MISAMIS ORIENTAL,TALISAYAN,MAYOR,,"TARAY, JIMMY",IND,9368,146959
MISAMIS ORIENTAL,VILLANUEVA,MAYOR,,"UY, JULIO",NUP,14267,149275
MOUNTAIN PROVINCE,BARLIG,MAYOR,,"NGAYA, CLARK",NP,2335,283171
MOUNTAIN PROVINCE,BAUKO,MAYOR,,"SILI, ASHLEY",IND,17336,282367
MOUNTAIN PROVINCE,BESAO,MAYOR,,"BUYAGAN, ELIZABETH",PFP,4054,282633
MOUNTAIN PROVINCE,BONTOC,MAYOR,,"PATINGAN, ALSANNYSTER",IND,7628,283706
MOUNTAIN PROVINCE,NATONIN,MAYOR,,"LAPASEN, RAYMUNDO",PFP,5625,284237
MOUNTAIN PROVINCE,PARACELIS,MAYOR,,"AYANGWA, MARCOS",PFP,8910,282896
MOUNTAIN PROVINCE,SABANGAN,MAYOR,,"LAWILAO, MARCIAL JR.",PFP,5579,282103
MOUNTAIN PROVINCE,SADANGA,MAYOR,,"ACKUT, GERALDO JR",IND,4610,283969
MOUNTAIN PROVINCE,SAGADA,MAYOR,,"BUYAGAN, DAVID TALLUSEN",IND,4132,283440
MOUNTAIN PROVINCE,TADIAN,MAYOR,,"MASWENG, CONSTITO",PFP,8830,284507
NATIONAL CAPITAL REGION - FOURTH DISTRICT,CITY OF LAS PIÑAS,MAYOR,,"AGUILAR, IMELDA",NPC,123622,15960
NATIONAL CAPITAL REGION - FOURTH DISTRICT,CITY OF MAKATI,MAYOR,,"PEÑA, KID",NPC,146771,14867
NATIONAL CAPITAL REGION - FOURTH DISTRICT,CITY OF MUNTINLUPA,MAYOR,,"BIAZON, RUFFY",1MUNTI,209498,15127
NATIONAL CAPITAL REGION - FOURTH DISTRICT,CITY OF PARAÑAQUE,MAYOR,,"OLIVAREZ, KUYA EDWIN",LAKAS,142561,14595
NATIONAL CAPITAL REGION - FOURTH DISTRICT,CITY OF TAGUIG,MAYOR,,"CAYETANO, ATE LANI",NP,410706,15654
NATIONAL CAPITAL REGION - FOURTH DISTRICT,PASAY CITY,MAYOR,,"CALIXTO-RUBIANO, EMI",PFP,132928,15394
NATIONAL CAPITAL REGION - FOURTH DISTRICT,PATEROS,MAYOR,,"GERMAN, GERALD",PFP,16459,14319
NATIONAL CAPITAL REGION - MANILA,CITY OF MANILA,MAYOR,,"ATIENZA, CHI",AKSYON,584145,12914
NATIONAL CAPITAL REGION - SECOND DISTRICT,CITY OF MANDALUYONG,MAYOR,,"ABALOS, MENCHIE",PFP,143315,16757
NATIONAL CAPITAL REGION - SECOND DISTRICT,CITY OF MARIKINA,MAYOR,,"TEODORO, MAAN",NUP,142814,17320
NATIONAL CAPITAL REGION - SECOND DISTRICT,CITY OF PASIG,MAYOR,,"SOTTO, VICO",IND,351392,16500
NATIONAL CAPITAL REGION - SECOND DISTRICT,CITY OF SAN JUAN,MAYOR,,"ZAMORA, FRANCIS",PFP,57998,16252
NATIONAL CAPITAL REGION - SECOND DISTRICT,QUEZON CITY,MAYOR,,"BELMONTE, JOY",SBP,1030730,17015
NATIONAL CAPITAL REGION - THIRD DISTRICT,CITY OF CALOOCAN,MAYOR,,"TEH, KARINA",NP,351299,13550
NATIONAL CAPITAL REGION - THIRD DISTRICT,CITY OF MALABON,MAYOR,,"SANDOVAL, JEANNIE",NP,120757,13283
NATIONAL CAPITAL REGION - THIRD DISTRICT,CITY OF NAVOTAS,MAYOR,,"TIANGCO, JOHN REY",NVTEÑO,120283,14075
NATIONAL CAPITAL REGION - THIRD DISTRICT,CITY OF VALENZUELA,MAYOR,,"GATCHALIAN, WES",NPC,295876,13832
NEGROS OCCIDENTAL,BINALBAGAN,MAYOR,,"ARANDA, MANUEL",IND,19263,218901
NEGROS OCCIDENTAL,CALATRAVA,MAYOR,,"ERA, BEBE",NPC,32353,222546
NEGROS OCCIDENTAL,CANDONI,MAYOR,,"JAVELLANA, ODI",LAKAS,7801,221012
NEGROS OCCIDENTAL,CAUAYAN,MAYOR,,"TABUJARA, JOHN REY",NPC,34309,220748
NEGROS OCCIDENTAL,CITY OF BACOLOD,MAYOR,,"GASATAYA, GREG",NPC,157150,219452
NEGROS OCCIDENTAL,CITY OF BAGO,MAYOR,,"TORRES, ANDREW",NUP,48319,218383
NEGROS OCCIDENTAL,CITY OF CADIZ,MAYOR,,"ESCALANTE, BADING",LAKAS,58018,222039
NEGROS OCCIDENTAL,CITY OF ESCALANTE,MAYOR,,"YAP, BEBOY",NPC,47273,222289
NEGROS OCCIDENTAL,CITY OF HIMAMAYLAN,MAYOR,,"TONGSON, RAYMUND",UNEGA,44462,221527
NEGROS OCCIDENTAL,CITY OF KABANKALAN,MAYOR,,"MIRANDA, BENJIE",PFP,43082,219163
NEGROS OCCIDENTAL,CITY OF LA CARLOTA,MAYOR,,"BAGA, JUN-JUN",NUP,30156,219987
NEGROS OCCIDENTAL,ENRIQUE B. MAGALONA,MAYOR,,"MALACON, MARVIN",PFP,27062,223305
NEGROS OCCIDENTAL,HINIGARAN,MAYOR,,"ARCEO, NADIE",NPC,33673,221788
NEGROS OCCIDENTAL,HINOBA-AN,MAYOR,,"RELIQUIAS, DAPH",PFP,21757,218639
NEGROS OCCIDENTAL,ILOG,MAYOR,,"ALVAREZ, JOHN PAUL",NPC,23336,220247
NEGROS OCCIDENTAL,ISABELA,MAYOR,,"YULO, MIGUEL",LAKAS,24164,221268
NEGROS OCCIDENTAL,LA CASTELLANA,MAYOR,,"NICOR, MHAI-MHAI",UNEGA,18904,219723
NEGROS OCCIDENTAL,MANAPLA,MAYOR,,"ESCALANTE, MIKA",LAKAS,25018,220496
NEGROS OCCIDENTAL,MOISES PADILLA,MAYOR,,"GARCIA, ELLA",NUP,15176,222796
NEGROS OCCIDENTAL,MURCIA,MAYOR,,"REOSURA, JOHNNY",LAKAS,34738,223056
NEGROS ORIENTAL,AMLAN,MAYOR,,"TAN, ALLAN",NPC,9534,212633
NEGROS ORIENTAL,AYUNGON,MAYOR,,"AMANCIO, DENNIS",NPC,19875,210778
NEGROS ORIENTAL,BACONG,MAYOR,,"ALVIOLA, LENIN",LP,14338,213662
NEGROS ORIENTAL,BASAY,MAYOR,,"WAGAS, JORY",LAKAS,8737,211301
NEGROS ORIENTAL,BINDOY,MAYOR,,"JABAGAT, ENIEGO",NPC,17124,214455
NEGROS ORIENTAL,CITY OF BAIS,MAYOR,,"GOÑI, LUIGI",NPC,35173,210514
NEGROS ORIENTAL,CITY OF BAYAWAN,MAYOR,,"RAYMOND, JACK",NPC,45716,211562
NEGROS ORIENTAL,CITY OF CANLAON,MAYOR,,"CARDENAS, BATCHUK",NPC,24775,216573
NEGROS ORIENTAL,CITY OF DUMAGUETE,MAYOR,,"ALVIOLA, ESLAO",NPC,38928,214717
NEGROS ORIENTAL,CITY OF GUIHULNGAN,MAYOR,,"REYES, MIKOY",NP,34943,211837
NEGROS ORIENTAL,CITY OF TANJAY,MAYOR,,"ORLINO, JOSEPEPE",NPC,20068,215251
NEGROS ORIENTAL,DAUIN,MAYOR,,"TRUITA, GALICANO",PFP,10313,211036
NEGROS ORIENTAL,JIMALALUD,MAYOR,,"TUANDA, HAZEL",NPC,13761,215800
NEGROS ORIENTAL,LA LIBERTAD,MAYOR,,"SABAC, JULIUS",PFP,17890,213149
NEGROS ORIENTAL,MABINAY,MAYOR,,"UY, JANGO",NPC,34361,216058
NEGROS ORIENTAL,MANJUYOD,MAYOR,,"ANDAYA, RAFFY",NPC,22209,212107
NEGROS ORIENTAL,PAMPLONA,MAYOR,,"RAMIREZ, NIKKO",LAKAS,17520,214194
NEGROS ORIENTAL,SAN JOSE,MAYOR,,"LOGRONIO, MEL NICK",NP,7644,213403
NEGROS ORIENTAL,SANTA CATALINA,MAYOR,,"LIGAN, PEVE",NPC,19596,216314
NEGROS ORIENTAL,SIATON,MAYOR,,"ATOR, ALBERT",IND,24184,213926
NEGROS ORIENTAL,SIBULAN,MAYOR,,"ABIERA, PEPE",NPC,22057,210252
NEGROS ORIENTAL,TAYASAN,MAYOR,,"RUPERTO, BIMBO",NPC,14181,212890
NEGROS ORIENTAL,VALENCIA,MAYOR,,"TEVES, JUNJUN",NPC,15058,215537
NEGROS ORIENTAL,VALLEHERMOSO,MAYOR,,"GUSTILO, AN-AN",NPC,17901,212370
NEGROS ORIENTAL,ZAMBOANGUITA,MAYOR,,"ELMIDO, JUNIOR",PFP,12486,214989
NORTHERN SAMAR,ALLEN,MAYOR,,"SUAN, KATKAT",NUP,10399,207146
NORTHERN SAMAR,BIRI,MAYOR,,"DELOS REYES, DODOY",NUP,4840,206364
NORTHERN SAMAR,BOBON,MAYOR,,"CELESPARA, RENY",NUP,10319,205852
NORTHERN SAMAR,CAPUL,MAYOR,,"BANDAL, ISIDRO",NUP,5629,206111
NORTHERN SAMAR,CATARMAN,MAYOR,,"ROSALES, JUN",PFP,37433,208180
NORTHERN SAMAR,CATUBIG,MAYOR,,"VICENCIO, SOLOMON",NUP,13464,205074
NORTHERN SAMAR,GAMAY,MAYOR,,"CAPOQUIAN, TIMOTEO JR.",NUP,10394,207662
NORTHERN SAMAR,LAOANG,MAYOR,,"ONGCHUAN, CHARLENE",NUP,18726,209214
NORTHERN SAMAR,LAPINIG,MAYOR,,"MENZON, BABIE",NUP,4879,209478
NORTHERN SAMAR,LAS NAVAS,MAYOR,,"TAN, PHILBERT",NUP,14108,208702
NORTHERN SAMAR,LAVEZARES,MAYOR,,"SALUDAGA, TINGTING",NUP,11978,206892
NORTHERN SAMAR,MAPANAS,MAYOR,,"TEJANO, RONN MICHAEL",NUP,6684,207405
NORTHERN SAMAR,MONDRAGON,MAYOR,,"MADERA, JOJO",NUP,15260,206623
NORTHERN SAMAR,PALAPAG,MAYOR,,"BATULA, FAWA",NUP,13802,209739
NORTHERN SAMAR,PAMBUJAN,MAYOR,,"SOSING, EPING",NUP,10216,205338
NORTHERN SAMAR,ROSARIO,MAYOR,,"MIRANDA, TIDOT",PFP,4129,208438
NORTHERN SAMAR,SAN ANTONIO,MAYOR,,"BAGUIOSO, RUDINIE",NUP,4025,209996
NORTHERN SAMAR,SAN ISIDRO,MAYOR,,"AVILA, DADO",NUP,9505,208956
NORTHERN SAMAR,SAN JOSE,MAYOR,,"BALLESTA, GOLDIE",NUP,7593,207924
NORTHERN SAMAR,SAN ROQUE,MAYOR,,"ABALON, ATE MEAN",NUP,12113,205599
NUEVA ECIJA,ALIAGA,MAYOR,,"MORENO, GILBERT",SIGAW,26642,113503
NUEVA ECIJA,BONGABON,MAYOR,,"BINUYA, CHRISTIAN",SIGAW,22859,114004
NUEVA ECIJA,CABIAO,MAYOR,,"RIVERA, RBR",SIGAW,29379,111197
NUEVA ECIJA,CARRANGLAN,MAYOR,,"MANUCDOC, ERIC",NUP,13567,108130
NUEVA ECIJA,CITY OF CABANATUAN,MAYOR,,"VERGARA, MYCA",PFP,112151,110424
NUEVA ECIJA,CITY OF GAPAN,MAYOR,,"PASCUAL, JOY",LAKAS,74327,108908
NUEVA ECIJA,CITY OF PALAYAN,MAYOR,,"CUEVAS, VIANNE",NPC,25146,109167
NUEVA ECIJA,CUYAPO,MAYOR,,"ESTEBAN, FLOR PAGUIO",SIGAW,16873,112724
NUEVA ECIJA,GABALDON,MAYOR,,"EMATA, JOBBY",SIGAW,18964,109413
NUEVA ECIJA,GENERAL MAMERTO NATIVIDAD,MAYOR,,"PONCE, LARRY",SIGAW,13958,107608
NUEVA ECIJA,GENERAL TINIO,MAYOR,,"PASCUAL, MELVIN",SIGAW,20471,108387
NUEVA ECIJA,GUIMBA,MAYOR,,"GALAPON, DOKLITO",LAKAS,37583,110938
NUEVA ECIJA,JAEN,MAYOR,,"MATIAS, SANTY",PMP,19398,108642
NUEVA ECIJA,LAUR,MAYOR,,"PADILLA, BENJIE",KLINGA,10442,107863
NUEVA ECIJA,LICAB,MAYOR,,"VILLAROMAN, OLIVER",SIGAW,9928,114523
NUEVA ECIJA,LLANERA,MAYOR,,"PASCUAL, RONNIE",NUP,14292,114774
NUEVA ECIJA,LUPAO,MAYOR,,"ROMANO, ALEX ROMMEL",SIGAW,16505,111706
NUEVA ECIJA,NAMPICUAN,MAYOR,,"BADAR, VICTOR",SIGAW,5432,110689
NUEVA ECIJA,PANTABANGAN,MAYOR,,"AGDIPA, NOG",SIGAW,11435,112216
NUEVA ECIJA,PEÑARANDA,MAYOR,,"RAMOS, JOEY",LAKAS,12370,111451
NUEVA ECIJA,QUEZON,MAYOR,,"JOSON, DEAN",SIGAW,15405,113758
NUEVA ECIJA,RIZAL,MAYOR,,"ANDRES, TRINA",NUP,21985,110173
NUEVA ECIJA,SAN ANTONIO,MAYOR,,"SALONGA, DRA. GEGE",SIGAW,40332,115286
NUEVA ECIJA,SAN ISIDRO,MAYOR,,"FRANCISCO, ROBINSON",SIGAW,16701,107352
NUEVA ECIJA,SAN JOSE CITY,MAYOR,,"VIOLAGO, JAMES",LAKAS,51075,112987
NUEVA ECIJA,SAN LEONARDO,MAYOR,,"NAGAÑO, ELAN",SIGAW,21480,113249
NUEVA ECIJA,SANTA ROSA,MAYOR,,"AGUILAR, TUPENG",SIGAW,26748,112465
NUEVA ECIJA,SANTO DOMINGO,MAYOR,,"DE GUZMAN, BABYBOY",PMP,24821,109926
NUEVA ECIJA,SCIENCE CITY OF MUÑOZ,MAYOR,,"ALVAREZ, NESTOR",PELA,33273,109670
NUEVA ECIJA,TALAVERA,MAYOR,,"LIM, ARIES GABOY",NPC,36864,111959
