province,city,position,district,candidate_name,party,votes,rank
MARINDUQUE,,GOVERNOR,,"BACORRO, DOC ROMULO",IND,75930,2
MASBATE,,GOVERNOR,,"KHO, RICHARD",LAKAS,321100,2
MISAMIS OCCIDENTAL,,GOVERNOR,,"OAMINAL, HENRY",NP,297067,4
MISAMIS ORIENTAL,,GOVERNOR,,"UY, JULIETTE",NUP,327305,6
MOUNTAIN PROVINCE,,GOVERNOR,,"LACWASAN, BONIFACIO JR",PFP,50666,4
NEGROS OCCIDENTAL,,GOVERNOR,,"LACSON, BONG",NPC,579724,4
NEGROS ORIENTAL,,GOVERNOR,,"SAGARBARRIA, CHACO",PFP,365020,6
NORTHERN SAMAR,,GOVERNOR,,"ONGCHUAN, HARRIS ONG",NUP,190043,3
NUEVA ECIJA,,GOVERNOR,,"UMALI, OYIE",SIGAW,983805,4
NUEVA VIZCAYA,,GOVERNOR,,"GAMBITO, JING",PFP,151517,6
OCCIDENTAL MINDORO,,GOVERNOR,,"GADIANO, ED",PFP,200673,2
ORIENTAL MINDORO,,GOVERNOR,,"DOLOR, BONZ",GSM,235935,2
PALAWAN,,GOVERNOR,,"ALVAREZ, AMY",PPP,226101,2
PAMPANGA,,GOVERNOR,,"PINEDA, DENNIS DELTA",NPC,751077,3
PANGASINAN,,GOVERNOR,,"LAMBINO, MARK",LAKAS,848365,3
QUEZON,,GOVERNOR,,"TAN, DOKTORA HELEN",STAN Q,660847,4
QUIRINO,,GOVERNOR,,"CUA, DAX",PFP,97595,1
RIZAL,,GOVERNOR,,"YNARES, NINA",NPC,884132,9
ROMBLON,,GOVERNOR,,"FIRMALO-FABIC, TRINA",LP,93425,1
SAMAR,,GOVERNOR,,"EVARDONE, RV",PFP,204564,3
SARANGANI,,GOVERNOR,,"PACQUIAO, ROGELIO",PFP,155989,5
SIQUIJOR,,GOVERNOR,,"VILLA, JEC-JEC",PFP,42149,4
SORSOGON,,GOVERNOR,,"HAMOR, BOBOY",NPC,339284,3
SOUTH COTABATO,,GOVERNOR,,"TAMAYO, REYNALDO JR.",PFP,346611,5
SOUTHERN LEYTE,,GOVERNOR,,"MERCADO, MILAI",LAKAS,139765,2
SULTAN KUDARAT,,GOVERNOR,,"MANGUDADATU, DATU PAX",LAKAS,302401,3
SULU,,GOVERNOR,,"TAN, ABDUSAKUR II",LAKAS,362388,4
SURIGAO DEL NORTE,,GOVERNOR,,"GOKIANGKEE, GEED",NP,207244,2
SURIGAO DEL SUR,,GOVERNOR,,"PIMENTEL, JOHNNY",NUP,252477,7
TARLAC,,GOVERNOR,,"YAP, CHRISTIAN",SST,482338,8
TAWI-TAWI,,GOVERNOR,,"SALI, AL-SYED",PFP,142259,3
ZAMBALES,,GOVERNOR,,"EBDANE, JUN",SZP,306367,2
ZAMBOANGA DEL NORTE,,GOVERNOR,,"UY, DAREL DEXTER",LAKAS,307828,5
ZAMBOANGA DEL SUR,,GOVERNOR,,"ARIOSA, ROY",PFP,321985,1
ZAMBOANGA SIBUGAY,,GOVERNOR,,"HOFER, ANN",PFP,203473,2
ABRA,BANGUED,MAYOR,,"SEARES, ALLAN",PFP,24054,289444
ABRA,BOLINEY,MAYOR,,"BALAO-AS, RONALD",LAKAS,2649,288153
ABRA,BUCAY,MAYOR,,"ZALES, JOJO",LAKAS,11876,288662
ABRA,BUCLOC,MAYOR,,"CARDENAS, ALVINDER",LAKAS,1180,285302
ABRA,DAGUIOMAN,MAYOR,,"PADILLA, YANG YANG",LAKAS,1213,286852
ABRA,DANGLAS,MAYOR,,"BRAGAS, RUSSELL",NP,3306,286342
ABRA,DOLORES,MAYOR,,"TURQUEZA, CONDE",PFP,5064,287368
ABRA,LA PAZ,MAYOR,,"BERNOS, NIÑA",LAKAS,11065,288407
ABRA,LACUB,MAYOR,,"BERSAMINA, NESTOR",LAKAS,1795,289702
ABRA,LAGANGILANG,MAYOR,,"ATMOSFERA, RODERICK",PFP,7112,286591
ABRA,LAGAYAN,MAYOR,,"CRISOLOGO, EDMARC",LAKAS,2577,288916
