region,province,city,position,district,candidate_name,party,votes,raw_position
REGION X,BUKIDNON,QUEZON,VICE MAYOR,,"DUROTAN, JOSEPH",BPP,48094,VICE-MAYOR of BUKIDNON - QUEZON
REGION X,BUKIDNON,SAN FERNANDO,VICE MAYOR,,"YEKE, JEASER MAE",BPP,22216,VICE-MAYOR of BUKIDNON - SAN FERNANDO
REGION X,BUKIDNON,SUMILAO,VICE MAYOR,,"BAULA, JIM-JIM",BPP,13388,VICE-MAYOR of BUKIDNON - SUMILAO
REGION X,BUKIDNON,TALAKAG,VICE MAYOR,,"FACTURA, VERGITO",BPP,15590,VICE-MAYOR of BUKIDNON - TALAKAG
REGION III,BULACAN,ANGAT,VICE MAYOR,,"AGUSTIN, ARVIN",LAKAS,21797,VICE-MAYOR of BULACAN - ANGAT
REGION III,BULACAN,BALAGTAS,VICE MAYOR,,"PAYURAN, MONAY",PFP,27204,VICE-MAYOR of BULACAN - BALAGTAS
REGION III,BULACAN,BOCAUE,VICE MAYOR,,"TUGNA, MR. MAYOR JONI",NUP,53889,VICE-MAYOR of BULACAN - BOCAUE
REGION III,BULACAN,BULACAN,VICE MAYOR,,"CRUZ, ARON RONALD",PFP,26580,VICE-MAYOR of BULACAN - BULACAN
REGION III,BULACAN,BUSTOS,VICE MAYOR,,"ANGELES, MARTIN",NUP,24732,VICE-MAYOR of BULACAN - BUSTOS
REGION III,BULACAN,CALUMPIT,VICE MAYOR,,"CANDELARIA, DOC ZAR",NUP,34891,VICE-MAYOR of BULACAN - CALUMPIT
REGION III,BULACAN,CITY OF BALIWAG,VICE MAYOR,,"ESTRELLA, FERDIE",NUP,55939,VICE-MAYOR of BULACAN - CITY OF BALIWAG
REGION III,BULACAN,CITY OF MALOLOS,VICE MAYOR,,"GATCHALIAN, BEBONG",IND,47905,VICE-MAYOR of BULACAN - CITY OF MALOLOS
REGION III,BULACAN,CITY OF MEYCAUAYAN,VICE MAYOR,,"VIOLAGO, JOJIE",PFP,63355,VICE-MAYOR of BULACAN - CITY OF MEYCAUAYAN
REGION III,BULACAN,CITY OF SAN JOSE DEL MONTE,VICE MAYOR,,"BARTOLOME, ARLENE ABA",AR,87916,VICE-MAYOR of BULACAN - CITY OF SAN JOSE DEL MONTE
REGION III,BULACAN,DOÑA REMEDIOS TRINIDAD,VICE MAYOR,,"FLORES, MARIE",NUP,15993,VICE-MAYOR of BULACAN - DOÑA REMEDIOS TRINIDAD
REGION III,BULACAN,GUIGUINTO,VICE MAYOR,,"SANTOS, JJ",IND,43933,VICE-MAYOR of BULACAN - GUIGUINTO
REGION III,BULACAN,HAGONOY,VICE MAYOR,,"DELA CRUZ, JHANE",PFP,28178,VICE-MAYOR of BULACAN - HAGONOY
REGION III,BULACAN,MARILAO,VICE MAYOR,,"AMADOR, ARIEL",PFP,44459,VICE-MAYOR of BULACAN - MARILAO
REGION III,BULACAN,NORZAGARAY,VICE MAYOR,,"SAMSON, GIULIUS",PFP,34283,VICE-MAYOR of BULACAN - NORZAGARAY
REGION III,BULACAN,OBANDO,VICE MAYOR,,"RILLERA, ROWELL",PFP,16508,VICE-MAYOR of BULACAN - OBANDO
REGION III,BULACAN,PANDI,VICE MAYOR,,"CASTRO, ENGR. CRIS",PFP,45408,VICE-MAYOR of BULACAN - PANDI
REGION III,BULACAN,PAOMBONG,VICE MAYOR,,"CASTRO, JC",PFP,19637,VICE-MAYOR of BULACAN - PAOMBONG
REGION III,BULACAN,PLARIDEL,VICE MAYOR,,"DE LEON, MHEL",IND,37742,VICE-MAYOR of BULACAN - PLARIDEL
REGION III,BULACAN,PULILAN,VICE MAYOR,,"CRUZ, ATTY. IMEE",LAKAS,29186,VICE-MAYOR of BULACAN - PULILAN
REGION III,BULACAN,SAN ILDEFONSO,VICE MAYOR,,"GALVEZ, ADMIN-CHARIZ",NUP,40680,VICE-MAYOR of BULACAN - SAN ILDEFONSO
REGION III,BULACAN,SAN MIGUEL,VICE MAYOR,,"REYES, JHONG",NUP,34681,VICE-MAYOR of BULACAN - SAN MIGUEL
REGION III,BULACAN,SAN RAFAEL,VICE MAYOR,,"VENERACION, EDISON",PFP,45486,VICE-MAYOR of BULACAN - SAN RAFAEL
REGION III,BULACAN,SANTA MARIA,VICE MAYOR,,"PEREZ, OBET",PFP,65665,VICE-MAYOR of BULACAN - SANTA MARIA
REGION II,CAGAYAN,ABULUG,VICE MAYOR,,"VARGAS, JEFF",LAKAS,16062,VICE-MAYOR of CAGAYAN - ABULUG
REGION II,CAGAYAN,ALCALA,VICE MAYOR,,"SUMABAT, DENDEN",IND,11809,VICE-MAYOR of CAGAYAN - ALCALA
REGION II,CAGAYAN,ALLACAPAN,VICE MAYOR,,"FLORIDA, JAY-AR",NP,8961,VICE-MAYOR of CAGAYAN - ALLACAPAN
REGION II,CAGAYAN,AMULUNG,VICE MAYOR,,"ANTONIO, EDWARD",NPC,15374,VICE-MAYOR of CAGAYAN - AMULUNG
REGION II,CAGAYAN,APARRI,VICE MAYOR,,"CHAN, BRYAN",IND,15371,VICE-MAYOR of CAGAYAN - APARRI
REGION II,CAGAYAN,BAGGAO,VICE MAYOR,,"GAZMEN, ROWEL",LAKAS,30484,VICE-MAYOR of CAGAYAN - BAGGAO
REGION II,CAGAYAN,BALLESTEROS,VICE MAYOR,,"UNITE, VINCENT",LAKAS,11155,VICE-MAYOR of CAGAYAN - BALLESTEROS
REGION II,CAGAYAN,BUGUEY,VICE MAYOR,,"ANTIPORDA, LLOYD",NP,13710,VICE-MAYOR of CAGAYAN - BUGUEY
REGION II,CAGAYAN,CALAYAN,VICE MAYOR,,"LLOPIS, JOSEPHUS",NP,7194,VICE-MAYOR of CAGAYAN - CALAYAN
REGION II,CAGAYAN,CAMALANIUGAN,VICE MAYOR,,"ROSARIO, JAMUEL",LAKAS,7829,VICE-MAYOR of CAGAYAN - CAMALANIUGAN
REGION II,CAGAYAN,CLAVERIA,VICE MAYOR,,"AGPULDO, FREDELINO",PFP,9156,VICE-MAYOR of CAGAYAN - CLAVERIA
REGION II,CAGAYAN,ENRILE,VICE MAYOR,,"IRINGAN, ALEX",AKSYON,7280,VICE-MAYOR of CAGAYAN - ENRILE
REGION II,CAGAYAN,GATTARAN,VICE MAYOR,,"SISON, PRINCESS",LAKAS,20975,VICE-MAYOR of CAGAYAN - GATTARAN
REGION II,CAGAYAN,GONZAGA,VICE MAYOR,,"GASPAR, SHERRYL ANNE",LAKAS,8170,VICE-MAYOR of CAGAYAN - GONZAGA
REGION II,CAGAYAN,IGUIG,VICE MAYOR,,"TRINIDAD, FERDINAND",NP,11471,VICE-MAYOR of CAGAYAN - IGUIG
REGION II,CAGAYAN,LAL-LO,VICE MAYOR,,"PASCUAL, OLIVE",NP,16200,VICE-MAYOR of CAGAYAN - LAL-LO
REGION II,CAGAYAN,LASAM,VICE MAYOR,,"AGATEP, DANNAH",LAKAS,13360,VICE-MAYOR of CAGAYAN - LASAM
REGION II,CAGAYAN,PAMPLONA,VICE MAYOR,,"SAMPAGA, ARNIE",LAKAS,9968,VICE-MAYOR of CAGAYAN - PAMPLONA
REGION II,CAGAYAN,PEÑABLANCA,VICE MAYOR,,"TAGUINOD, INTOY",LAKAS,18569,VICE-MAYOR of CAGAYAN - PEÑABLANCA
REGION II,CAGAYAN,PIAT,VICE MAYOR,,"VILLACETE, KING",PFP,7829,VICE-MAYOR of CAGAYAN - PIAT
REGION II,CAGAYAN,RIZAL,VICE MAYOR,,"RUMA, BRENDA",NPC,6683,VICE-MAYOR of CAGAYAN - RIZAL
REGION II,CAGAYAN,SANCHEZ-MIRA,VICE MAYOR,,"SACRAMED, CONNIE MARIE",NP,8124,VICE-MAYOR of CAGAYAN - SANCHEZ-MIRA
REGION II,CAGAYAN,SANTA ANA,VICE MAYOR,,"LADRIDO, CATHERINE",NP,10710,VICE-MAYOR of CAGAYAN - SANTA ANA
REGION II,CAGAYAN,SANTA PRAXEDES,VICE MAYOR,,"ESTABILLO, RENE",LAKAS,1908,VICE-MAYOR of CAGAYAN - SANTA PRAXEDES
REGION II,CAGAYAN,SANTA TERESITA,VICE MAYOR,,"FAGELA, RUBEN",NP,5729,VICE-MAYOR of CAGAYAN - SANTA TERESITA
REGION II,CAGAYAN,SANTO NIÑO,VICE MAYOR,,"PAGURAYAN, VICENTE",LAKAS,8955,VICE-MAYOR of CAGAYAN - SANTO NIÑO
REGION II,CAGAYAN,SOLANA,VICE MAYOR,,"CARAG, JENNALYN",NPC,36310,VICE-MAYOR of CAGAYAN - SOLANA
REGION II,CAGAYAN,TUAO,VICE MAYOR,,"MAMBA, FRANCISCO JR.",NP,30334,VICE-MAYOR of CAGAYAN - TUAO
REGION II,CAGAYAN,TUGUEGARAO CITY,VICE MAYOR,,"RESUELLO, PASTOR ROSS",LAKAS,37178,VICE-MAYOR of CAGAYAN - TUGUEGARAO CITY
REGION V,CAMARINES NORTE,BASUD,VICE MAYOR,,"BARRAMEDA, RAMIR",PFP,10501,VICE-MAYOR of CAMARINES NORTE - BASUD
REGION V,CAMARINES NORTE,CAPALONGA,VICE MAYOR,,"ESTURAS, MARSHA",NPC,11140,VICE-MAYOR of CAMARINES NORTE - CAPALONGA
REGION V,CAMARINES NORTE,DAET,VICE MAYOR,,"OCHOA, B2K",NPC,27588,VICE-MAYOR of CAMARINES NORTE - DAET
REGION V,CAMARINES NORTE,JOSE PANGANIBAN,VICE MAYOR,,"PADILLA, KUATRO",PFP,14664,VICE-MAYOR of CAMARINES NORTE - JOSE PANGANIBAN
REGION V,CAMARINES NORTE,LABO,VICE MAYOR,,"BARDON, ALVIN",LP,34608,VICE-MAYOR of CAMARINES NORTE - LABO
REGION V,CAMARINES NORTE,MERCEDES,VICE MAYOR,,"YAPYUCO, GINA",PFP,9111,VICE-MAYOR of CAMARINES NORTE - MERCEDES
REGION V,CAMARINES NORTE,PARACALE,VICE MAYOR,,"MOYA, ZALDY",PFP,14212,VICE-MAYOR of CAMARINES NORTE - PARACALE
REGION V,CAMARINES NORTE,SAN LORENZO RUIZ,VICE MAYOR,,"FRANCISCO, RANDY",PFP,6562,VICE-MAYOR of CAMARINES NORTE - SAN LORENZO RUIZ
REGION V,CAMARINES NORTE,SAN VICENTE,VICE MAYOR,,"ALEGRE, JOSEPH STANLEY",IND,4422,VICE-MAYOR of CAMARINES NORTE - SAN VICENTE
REGION V,CAMARINES NORTE,SANTA ELENA,VICE MAYOR,,"MENDOZA, KUYA DYEP",NPC,12045,VICE-MAYOR of CAMARINES NORTE - SANTA ELENA
REGION V,CAMARINES NORTE,TALISAY,VICE MAYOR,,"RAMORES, JUANCHO",PFP,8228,VICE-MAYOR of CAMARINES NORTE - TALISAY
REGION V,CAMARINES NORTE,VINZONS,VICE MAYOR,,"VALEROS, BOYET",PFP,11913,VICE-MAYOR of CAMARINES NORTE - VINZONS
REGION V,CAMARINES SUR,BAAO,VICE MAYOR,,"CUYAHON, CUYA ATAN",IND,12530,VICE-MAYOR of CAMARINES SUR - BAAO
REGION V,CAMARINES SUR,BALATAN,VICE MAYOR,,"NARITO, JHUN",LAKAS,9565,VICE-MAYOR of CAMARINES SUR - BALATAN
REGION V,CAMARINES SUR,BATO,VICE MAYOR,,"ZORILLA, DADO",PFP,15313,VICE-MAYOR of CAMARINES SUR - BATO
REGION V,CAMARINES SUR,BOMBON,VICE MAYOR,,"ANGELES, TYSON",NUP,6941,VICE-MAYOR of CAMARINES SUR - BOMBON
REGION V,CAMARINES SUR,BUHI,VICE MAYOR,,"ECHIPARE, CHRISTIAN",PFP,20569,VICE-MAYOR of CAMARINES SUR - BUHI
REGION V,CAMARINES SUR,BULA,VICE MAYOR,,"LARGO, BIKOL",NUP,20852,VICE-MAYOR of CAMARINES SUR - BULA
REGION V,CAMARINES SUR,CABUSAO,VICE MAYOR,,"AGUALADA, ATTY PITOY",IND,6080,VICE-MAYOR of CAMARINES SUR - CABUSAO
REGION V,CAMARINES SUR,CALABANGA,VICE MAYOR,,"DE VILLA, VIC",NUP,23742,VICE-MAYOR of CAMARINES SUR - CALABANGA
REGION V,CAMARINES SUR,CAMALIGAN,VICE MAYOR,,"PRADO, DOC-ELI",PFP,6737,VICE-MAYOR of CAMARINES SUR - CAMALIGAN
REGION V,CAMARINES SUR,CANAMAN,VICE MAYOR,,"ABANTE, JOEL JOSEPH",IND,6772,VICE-MAYOR of CAMARINES SUR - CANAMAN
REGION V,CAMARINES SUR,CARAMOAN,VICE MAYOR,,"OBIAS, DON",NUP,14547,VICE-MAYOR of CAMARINES SUR - CARAMOAN
REGION V,CAMARINES SUR,CITY OF IRIGA,VICE MAYOR,,"DIMAIWAT, EDSEL",NUP,29591,VICE-MAYOR of CAMARINES SUR - CITY OF IRIGA
REGION V,CAMARINES SUR,CITY OF NAGA,VICE MAYOR,,"BORDADO, GABBY",LP,46690,VICE-MAYOR of CAMARINES SUR - CITY OF NAGA
REGION V,CAMARINES SUR,DEL GALLEGO,VICE MAYOR,,"BARGO, FLORENCE",NUP,8647,VICE-MAYOR of CAMARINES SUR - DEL GALLEGO
REGION V,CAMARINES SUR,GAINZA,VICE MAYOR,,"TEODORO, JOSE JR.",NUP,3658,VICE-MAYOR of CAMARINES SUR - GAINZA
REGION V,CAMARINES SUR,GARCHITORENA,VICE MAYOR,,"CASTOR, RONIE",PFP,8622,VICE-MAYOR of CAMARINES SUR - GARCHITORENA
REGION V,CAMARINES SUR,GOA,VICE MAYOR,,"PAN, MARCEL MICHAEL",PFP,21441,VICE-MAYOR of CAMARINES SUR - GOA
REGION V,CAMARINES SUR,LAGONOY,VICE MAYOR,,"REMOTO, JERRY JAKE",PFP,22706,VICE-MAYOR of CAMARINES SUR - LAGONOY
REGION V,CAMARINES SUR,LIBMANAN,VICE MAYOR,,"ORIÑO, ARIEL",PFP,25141,VICE-MAYOR of CAMARINES SUR - LIBMANAN
REGION V,CAMARINES SUR,LUPI,VICE MAYOR,,"AGRAVANTE, NOEL",NPC,6776,VICE-MAYOR of CAMARINES SUR - LUPI
REGION V,CAMARINES SUR,MAGARAO,VICE MAYOR,,"BEDIONES, BOBOY",NUP,8609,VICE-MAYOR of CAMARINES SUR - MAGARAO
REGION V,CAMARINES SUR,MILAOR,VICE MAYOR,,"FLORES, KAP ABEL",NUP,10457,VICE-MAYOR of CAMARINES SUR - MILAOR
REGION V,CAMARINES SUR,MINALABAC,VICE MAYOR,,"LAVANDERO, NOE",NUP,12540,VICE-MAYOR of CAMARINES SUR - MINALABAC
REGION V,CAMARINES SUR,NABUA,VICE MAYOR,,"PONON, GERARD",NUP,27520,VICE-MAYOR of CAMARINES SUR - NABUA
REGION V,CAMARINES SUR,OCAMPO,VICE MAYOR,,"CARIDO, FIDEL JR.",LAKAS,12148,VICE-MAYOR of CAMARINES SUR - OCAMPO
REGION V,CAMARINES SUR,PAMPLONA,VICE MAYOR,,"FRANCO, BOY",KB,11239,VICE-MAYOR of CAMARINES SUR - PAMPLONA
REGION V,CAMARINES SUR,PASACAO,VICE MAYOR,,"BENGUA, JOJO",NUP,12652,VICE-MAYOR of CAMARINES SUR - PASACAO
REGION V,CAMARINES SUR,PILI,VICE MAYOR,,"BONGALONTA, TOM",NPC,19260,VICE-MAYOR of CAMARINES SUR - PILI
REGION V,CAMARINES SUR,PRESENTACION,VICE MAYOR,,"AMOROSO, TOMAS",PFP,7883,VICE-MAYOR of CAMARINES SUR - PRESENTACION
REGION V,CAMARINES SUR,RAGAY,VICE MAYOR,,"SEÑAR, BANI",NUP,17952,VICE-MAYOR of CAMARINES SUR - RAGAY
REGION V,CAMARINES SUR,SAGÑAY,VICE MAYOR,,"SAN FELIPE, BRYAN",PFP,11126,VICE-MAYOR of CAMARINES SUR - SAGÑAY
REGION V,CAMARINES SUR,SAN FERNANDO,VICE MAYOR,,"LAÑADA, GANDA",NUP,13009,VICE-MAYOR of CAMARINES SUR - SAN FERNANDO
REGION V,CAMARINES SUR,SAN JOSE,VICE MAYOR,,"PERVERA, OKI DOC",PFP,15802,VICE-MAYOR of CAMARINES SUR - SAN JOSE
REGION V,CAMARINES SUR,SIPOCOT,VICE MAYOR,,"ASTOR, OGIE",NPC,20577,VICE-MAYOR of CAMARINES SUR - SIPOCOT
REGION V,CAMARINES SUR,SIRUMA,VICE MAYOR,,"SAN GABRIEL, CHRISTOPHER",IND,5064,VICE-MAYOR of CAMARINES SUR - SIRUMA
REGION V,CAMARINES SUR,TIGAON,VICE MAYOR,,"LELIS, JULIUS TEOFILO",PFP,16398,VICE-MAYOR of CAMARINES SUR - TIGAON
REGION V,CAMARINES SUR,TINAMBAC,VICE MAYOR,,"BORJA, ERVIN",NUP,20149,VICE-MAYOR of CAMARINES SUR - TINAMBAC
REGION X,CAMIGUIN,CATARMAN,VICE MAYOR,,"SAGOCSOC, RONY",LAKAS,7632,VICE-MAYOR of CAMIGUIN - CATARMAN
REGION X,CAMIGUIN,GUINSILIBAN,VICE MAYOR,,"ABECIA, TATA",LAKAS,3787,VICE-MAYOR of CAMIGUIN - GUINSILIBAN
REGION X,CAMIGUIN,MAHINOG,VICE MAYOR,,"GALOCHINO, NERIO",LAKAS,7116,VICE-MAYOR of CAMIGUIN - MAHINOG
REGION X,CAMIGUIN,MAMBAJAO,VICE MAYOR,,"CLOSAS, ROBERT",LAKAS,18324,VICE-MAYOR of CAMIGUIN - MAMBAJAO
REGION X,CAMIGUIN,SAGAY,VICE MAYOR,,"YANGCO, NIEL JOHN",LAKAS,5428,VICE-MAYOR of CAMIGUIN - SAGAY
REGION VI,CAPIZ,CITY OF ROXAS,VICE MAYOR,,"ALMALBIS, INDAY TERESA",1CAPIZ,47571,VICE-MAYOR of CAPIZ - CITY OF ROXAS
REGION VI,CAPIZ,CUARTERO,VICE MAYOR,,"FALCIS, ABNER",1CAPIZ,7649,VICE-MAYOR of CAPIZ - CUARTERO
REGION VI,CAPIZ,DAO,VICE MAYOR,,"DAÑOS, PANOY",1CAPIZ,12293,VICE-MAYOR of CAPIZ - DAO
REGION VI,CAPIZ,DUMARAO,VICE MAYOR,,"HACHUELA, GLEY",1CAPIZ,19478,VICE-MAYOR of CAPIZ - DUMARAO
REGION VI,CAPIZ,IVISAN,VICE MAYOR,,"YAP, RJ",1CAPIZ,14736,VICE-MAYOR of CAPIZ - IVISAN
REGION VI,CAPIZ,JAMINDAN,VICE MAYOR,,"VESTIDAS, ARAN",1CAPIZ,16741,VICE-MAYOR of CAPIZ - JAMINDAN
REGION VI,CAPIZ,MA-AYON,VICE MAYOR,,"DAPULAZA, JOSE",1CAPIZ,16603,VICE-MAYOR of CAPIZ - MA-AYON
REGION VI,CAPIZ,MAMBUSAO,VICE MAYOR,,"BUENAVISTA, BEBOT",PDPLBN,13954,VICE-MAYOR of CAPIZ - MAMBUSAO
REGION VI,CAPIZ,PANAY,VICE MAYOR,,"ASIS, JULIUS",PFP,14319,VICE-MAYOR of CAPIZ - PANAY
REGION VI,CAPIZ,PANITAN,VICE MAYOR,,"ADVINCULA, AUDIE",1CAPIZ,14402,VICE-MAYOR of CAPIZ - PANITAN
REGION VI,CAPIZ,PILAR,VICE MAYOR,,"BARGO, DODOY BARGO",PFP,14157,VICE-MAYOR of CAPIZ - PILAR
REGION VI,CAPIZ,PONTEVEDRA,VICE MAYOR,,"OQUENDO, FERNE",1CAPIZ,14286,VICE-MAYOR of CAPIZ - PONTEVEDRA
REGION VI,CAPIZ,PRESIDENT ROXAS,VICE MAYOR,,"PASTRANA, JHEFFERSON",IND,11160,VICE-MAYOR of CAPIZ - PRESIDENT ROXAS
REGION VI,CAPIZ,SAPI-AN,VICE MAYOR,,"ODRUNIA, DOKRALPH",1CAPIZ,12622,VICE-MAYOR of CAPIZ - SAPI-AN
REGION VI,CAPIZ,SIGMA,VICE MAYOR,,"ALAYON, TOTO",PDPLBN,10831,VICE-MAYOR of CAPIZ - SIGMA
REGION VI,CAPIZ,TAPAZ,VICE MAYOR,,"PALOMAR, NONONG",PDPLBN,17917,VICE-MAYOR of CAPIZ - TAPAZ
REGION V,CATANDUANES,BAGAMANOC,VICE MAYOR,,"VELCHEZ, TOHO",LAKAS,3651,VICE-MAYOR of CATANDUANES - BAGAMANOC
REGION V,CATANDUANES,BARAS,VICE MAYOR,,"TATING, RICO",LAKAS,5552,VICE-MAYOR of CATANDUANES - BARAS
REGION V,CATANDUANES,BATO,VICE MAYOR,,"TESTON, ATOY",LAKAS,8755,VICE-MAYOR of CATANDUANES - BATO
REGION V,CATANDUANES,CARAMORAN,VICE MAYOR,,"TIOXON, TIMONG",LAKAS,8561,VICE-MAYOR of CATANDUANES - CARAMORAN
REGION V,CATANDUANES,GIGMOTO,VICE MAYOR,,"TATING, EFREN",PFP,3462,VICE-MAYOR of CATANDUANES - GIGMOTO
REGION V,CATANDUANES,PANDAN,VICE MAYOR,,"RODRIGUEZ, ERIC",LAKAS,7973,VICE-MAYOR of CATANDUANES - PANDAN
REGION V,CATANDUANES,PANGANIBAN,VICE MAYOR,,"ATENCIA, ARVIN",LAKAS,3820,VICE-MAYOR of CATANDUANES - PANGANIBAN
REGION V,CATANDUANES,SAN ANDRES,VICE MAYOR,,"ROMERO, FELIX JR.",LAKAS,12714,VICE-MAYOR of CATANDUANES - SAN ANDRES
REGION V,CATANDUANES,SAN MIGUEL,VICE MAYOR,,"MORALES, NOEL",LAKAS,5112,VICE-MAYOR of CATANDUANES - SAN MIGUEL
REGION V,CATANDUANES,VIGA,VICE MAYOR,,"TARIN, BONG",LAKAS,6992,VICE-MAYOR of CATANDUANES - VIGA
REGION V,CATANDUANES,VIRAC,VICE MAYOR,,"SURTIDA, KALEM",NPC,22141,VICE-MAYOR of CATANDUANES - VIRAC
REGION IV-A,CAVITE,ALFONSO,VICE MAYOR,,"PEL, MADONA",NUP,23945,VICE-MAYOR of CAVITE - ALFONSO
REGION IV-A,CAVITE,AMADEO,VICE MAYOR,,"LEGASPI, JOSEPH",NUP,15059,VICE-MAYOR of CAVITE - AMADEO
REGION IV-A,CAVITE,CITY OF BACOOR,VICE MAYOR,,"BAUTISTA-MENDIOLA, ROWENA",NPC,158270,VICE-MAYOR of CAVITE - CITY OF BACOOR
REGION IV-A,CAVITE,CITY OF CARMONA,VICE MAYOR,,"INES, CESAR JR.",NPC,43361,VICE-MAYOR of CAVITE - CITY OF CARMONA
REGION IV-A,CAVITE,CITY OF CAVITE,VICE MAYOR,,"RUSIT, RALEIGH",LAKAS,42506,VICE-MAYOR of CAVITE - CITY OF CAVITE
REGION IV-A,CAVITE,CITY OF DASMARIÑAS,VICE MAYOR,,"BARZAGA, THIRD",NUP,245088,VICE-MAYOR of CAVITE - CITY OF DASMARIÑAS
REGION IV-A,CAVITE,CITY OF GENERAL TRIAS,VICE MAYOR,,"LABUGUEN, JONAS",NUP,120278,VICE-MAYOR of CAVITE - CITY OF GENERAL TRIAS
REGION IV-A,CAVITE,CITY OF IMUS,VICE MAYOR,,"SAQUILAYAN, HOMER",NUP,140016,VICE-MAYOR of CAVITE - CITY OF IMUS
REGION IV-A,CAVITE,CITY OF TAGAYTAY,VICE MAYOR,,"TOLENTINO, AGNES",NUP,36662,VICE-MAYOR of CAVITE - CITY OF TAGAYTAY
REGION IV-A,CAVITE,CITY OF TRECE MARTIRES,VICE MAYOR,,"MONTEHERMOSO, BOBBY",NUP,55878,VICE-MAYOR of CAVITE - CITY OF TRECE MARTIRES
REGION IV-A,CAVITE,GEN. MARIANO ALVAREZ,VICE MAYOR,,"CABUHAT, PERCY",AKSYON,32035,VICE-MAYOR of CAVITE - GEN. MARIANO ALVAREZ
REGION IV-A,CAVITE,GENERAL EMILIO AGUINALDO,VICE MAYOR,,"GOLFO, LOUEL",NUP,7730,VICE-MAYOR of CAVITE - GENERAL EMILIO AGUINALDO
REGION IV-A,CAVITE,INDANG,VICE MAYOR,,"PAPA, FERDI",NUP,23685,VICE-MAYOR of CAVITE - INDANG
REGION IV-A,CAVITE,KAWIT,VICE MAYOR,,"AGUINALDO, ANGELO",LAKAS,29541,VICE-MAYOR of CAVITE - KAWIT
REGION IV-A,CAVITE,MAGALLANES,VICE MAYOR,,"SISANTE, AINA",NPC,7653,VICE-MAYOR of CAVITE - MAGALLANES
REGION IV-A,CAVITE,MARAGONDON,VICE MAYOR,,"ANGELES, ALDOUS",NUP,13056,VICE-MAYOR of CAVITE - MARAGONDON
REGION IV-A,CAVITE,MENDEZ,VICE MAYOR,,"DIMAPILIS, RAYGAN",NPC,10757,VICE-MAYOR of CAVITE - MENDEZ
REGION IV-A,CAVITE,NAIC,VICE MAYOR,,"REMULLA, JACINTA MARIA",NPC,61108,VICE-MAYOR of CAVITE - NAIC
REGION IV-A,CAVITE,NOVELETA,VICE MAYOR,,"CHUA, DINO",LAKAS,17017,VICE-MAYOR of CAVITE - NOVELETA
REGION IV-A,CAVITE,ROSARIO,VICE MAYOR,,"GONZALES, BAMM",LAKAS,54234,VICE-MAYOR of CAVITE - ROSARIO
REGION IV-A,CAVITE,SILANG,VICE MAYOR,,"REYES, CRIS KIDLAT",LP,40709,VICE-MAYOR of CAVITE - SILANG
REGION IV-A,CAVITE,TANZA,VICE MAYOR,,"DEL ROSARIO, MUNDING",AKSYON,65289,VICE-MAYOR of CAVITE - TANZA
REGION IV-A,CAVITE,TERNATE,VICE MAYOR,,"SOBERANO, KIM",PMP,10283,VICE-MAYOR of CAVITE - TERNATE
REGION VII,CEBU,ALCANTARA,VICE MAYOR,,"LLENOS, LARRY",1CEBU,9555,VICE-MAYOR of CEBU - ALCANTARA
REGION VII,CEBU,ALCOY,VICE MAYOR,,"SESTOSO, MICHAEL",1CEBU,9375,VICE-MAYOR of CEBU - ALCOY
REGION VII,CEBU,ALEGRIA,VICE MAYOR,,"MAGALLON, VERNA",1CEBU,11229,VICE-MAYOR of CEBU - ALEGRIA
REGION VII,CEBU,ALOGUINSAN,VICE MAYOR,,"MORENO, CHRISTIAN",1CEBU,13669,VICE-MAYOR of CEBU - ALOGUINSAN
REGION VII,CEBU,ARGAO,VICE MAYOR,,"ORTEGA, ORVI",IND,26300,VICE-MAYOR of CEBU - ARGAO
REGION VII,CEBU,ASTURIAS,VICE MAYOR,,"YARAS, REINE",1CEBU,17088,VICE-MAYOR of CEBU - ASTURIAS
REGION VII,CEBU,BADIAN,VICE MAYOR,,"MIÑOZA-SILVANO, DORIS",1CEBU,14509,VICE-MAYOR of CEBU - BADIAN
REGION VII,CEBU,BALAMBAN,VICE MAYOR,,"BINGHAY, ALFIE",1CEBU,22401,VICE-MAYOR of CEBU - BALAMBAN
REGION VII,CEBU,BANTAYAN,VICE MAYOR,,"DESPI, ART",1CEBU,25654,VICE-MAYOR of CEBU - BANTAYAN
REGION VII,CEBU,BARILI,VICE MAYOR,,"PONSICA, LOY",1CEBU,24923,VICE-MAYOR of CEBU - BARILI
REGION VII,CEBU,BOLJOON,VICE MAYOR,,"MUBARAK OBAID, INDAY",1CEBU,6808,VICE-MAYOR of CEBU - BOLJOON
REGION VII,CEBU,BORBON,VICE MAYOR,,"DOTILLOS, NOEL",1CEBU,15983,VICE-MAYOR of CEBU - BORBON
REGION VII,CEBU,CARMEN,VICE MAYOR,,"VILLAMOR, GERARD",1CEBU,27278,VICE-MAYOR of CEBU - CARMEN
REGION VII,CEBU,CATMON,VICE MAYOR,,"PORO, ARMEL",1CEBU,9805,VICE-MAYOR of CEBU - CATMON
REGION VII,CEBU,CITY OF BOGO,VICE MAYOR,,"MARTINEZ, CARLO JOSE",1CEBU,40281,VICE-MAYOR of CEBU - CITY OF BOGO
REGION VII,CEBU,CITY OF CARCAR,VICE MAYOR,,"DE DIOS, PERKINS",NP,34246,VICE-MAYOR of CEBU - CITY OF CARCAR
