region,province,city,position,district,candidate_name,party,votes,raw_position
CORDILLERA ADMINISTRATIVE REGION,ABRA,SALLAPADAN,MAYOR,,"SEMANERO, JHUN",LAKAS,3631,MAYOR of ABRA - SALLAPADAN
CORDILLERA ADMINISTRATIVE REGION,ABRA,SAN ISIDRO,MAYOR,,"PACSA, MARILYN",LAKAS,2298,MAYOR of ABRA - SAN ISIDRO
CORDILLERA ADMINISTRATIVE REGION,ABRA,SAN JUAN,MAYOR,,"BAUTISTA, ARI",PFP,6072,MAYOR of ABRA - SAN JUAN
CORDILLERA ADMINISTRATIVE REGION,ABRA,SAN QUINTIN,MAYOR,,"DIAZ, AMADOR",LAKAS,3127,MAYOR of ABRA - SAN QUINTIN
CORDILLERA ADMINISTRATIVE REGION,ABRA,TAYUM,MAYOR,,"EDUARTE, GLEN",LAKAS,7113,MAYOR of ABRA - TAYUM
CORDILLERA ADMINISTRATIVE REGION,ABRA,TINEG,MAYOR,,"CRISOLOGO, EDWIN",LAKAS,2341,MAYOR of ABRA - TINEG
CORDILLERA ADMINISTRATIVE REGION,ABRA,TUBO,MAYOR,,"LA-OS, LIBERTY",LAKAS,2290,MAYOR of ABRA - TUBO
CORDILLERA ADMINISTRATIVE REGION,ABRA,VILLAVICIOSA,MAYOR,,"LAGEN, JOLET",PFP,2945,MAYOR of ABRA - VILLAVICIOSA
REGION XIII,AGUSAN DEL NORTE,BUENAVISTA,MAYOR,,"ROBLE, JOSELITO",LAKAS,32574,MAYOR of AGUSAN DEL NORTE - BUENAVISTA
REGION XIII,AGUSAN DEL NORTE,CARMEN,MAYOR,,"CALO, RAMON",LAKAS,9080,MAYOR of AGUSAN DEL NORTE - CARMEN
REGION XIII,AGUSAN DEL NORTE,CITY OF BUTUAN,MAYOR,,"FORTUN, LAW",NP,101345,MAYOR of AGUSAN DEL NORTE - CITY OF BUTUAN
REGION XIII,AGUSAN DEL NORTE,CITY OF CABADBARAN,MAYOR,,"AMANTE, JUDY",LAKAS,38849,MAYOR of AGUSAN DEL NORTE - CITY OF CABADBARAN
REGION XIII,AGUSAN DEL NORTE,JABONGA,MAYOR,,"MONTERO, NAP",LAKAS,8886,MAYOR of AGUSAN DEL NORTE - JABONGA
REGION XIII,AGUSAN DEL NORTE,KITCHARAO,MAYOR,,"MONTANTE, JENRY",LAKAS,8186,MAYOR of AGUSAN DEL NORTE - KITCHARAO
REGION XIII,AGUSAN DEL NORTE,LAS NIEVES,MAYOR,,"ROSALES, KAREN",LAKAS,13757,MAYOR of AGUSAN DEL NORTE - LAS NIEVES
REGION XIII,AGUSAN DEL NORTE,MAGALLANES,MAYOR,,"CUMBA, CESAR JR",LAKAS,12019,MAYOR of AGUSAN DEL NORTE - MAGALLANES
REGION XIII,AGUSAN DEL NORTE,NASIPIT,MAYOR,,"PLAZA, ROSCOE DEMOCRITO",LAKAS,16119,MAYOR of AGUSAN DEL NORTE - NASIPIT
REGION XIII,AGUSAN DEL NORTE,REMEDIOS T. ROMUALDEZ,MAYOR,,"DAQUIPIL, RICHARD",LAKAS,6679,MAYOR of AGUSAN DEL NORTE - REMEDIOS T. ROMUALDEZ
REGION XIII,AGUSAN DEL NORTE,SANTIAGO,MAYOR,,"LIM, FRANK",LAKAS,10835,MAYOR of AGUSAN DEL NORTE - SANTIAGO
REGION XIII,AGUSAN DEL NORTE,TUBAY,MAYOR,,"BERAY, JIMMY",LAKAS,13095,MAYOR of AGUSAN DEL NORTE - TUBAY
REGION XIII,AGUSAN DEL SUR,BUNAWAN,MAYOR,,"ELORDE, BABY",NUP,16367,MAYOR of AGUSAN DEL SUR - BUNAWAN
REGION XIII,AGUSAN DEL SUR,CITY OF BAYUGAN,MAYOR,,"ASIS, KIRK",NUP,44281,MAYOR of AGUSAN DEL SUR - CITY OF BAYUGAN
REGION XIII,AGUSAN DEL SUR,ESPERANZA,MAYOR,,"MANPATILAN, DEO JR",NUP,21347,MAYOR of AGUSAN DEL SUR - ESPERANZA
REGION XIII,AGUSAN DEL SUR,LA PAZ,MAYOR,,"LIM, MICHAEL",NUP,11811,MAYOR of AGUSAN DEL SUR - LA PAZ
REGION XIII,AGUSAN DEL SUR,LORETO,MAYOR,,"OTAZA, ALVIN",NUP,17893,MAYOR of AGUSAN DEL SUR - LORETO
REGION XIII,AGUSAN DEL SUR,PROSPERIDAD,MAYOR,,"MELLANA, ERIC",NUP,26983,MAYOR of AGUSAN DEL SUR - PROSPERIDAD
REGION XIII,AGUSAN DEL SUR,ROSARIO,MAYOR,,"ABULOG, JUPITER",NPC,19651,MAYOR of AGUSAN DEL SUR - ROSARIO
REGION XIII,AGUSAN DEL SUR,SAN FRANCISCO,MAYOR,,"PAREDES-BRAVO, GRACE",NUP,30414,MAYOR of AGUSAN DEL SUR - SAN FRANCISCO
