Last Name,First Name,Middle Name,Title,Full Name,Position,Party,Year,Province,City,Region,Sex
MABA,ABDULRAHAM ABUSAIF HADJI MITOON,TARALBI,,"MABA, ABDULRAHAM ABUSAIF HADJI MITOON TARALBI",COUNCILOR,LAKAS NUCD-UMDP,2001,LANAO DEL SUR,BALINDONG,,M
SARIP,LOMALA JABER JR.,DIANALAN,,"SARIP, LOMALA JABER JR. DIANALAN",COUNCILOR,LAKAS NUCD-UMDP,2001,LANAO DEL SUR,BALINDONG,,M
MUA,SAHRIA BARUANG,DALIDIG,,"MUA, SAHRIA BARUANG DALIDIG",COUNCILOR,INDEPENDENT,2001,LANAO DEL SUR,BALINDONG,,F
ARUMPAC,IKLAS PANGILUMAN,ABUAT,,"ARUMPAC, IKLAS PANGILUMAN ABUAT",COUNCILOR,LAKAS NUCD-UMDP,2001,LANAO DEL SUR,BALINDONG,,M
PUNDOGAR,MICHAEL,ACMAD,,"PUNDOGAR, MICHAEL ACMAD",COUNCILOR,LAMMP,2001,LANAO DEL SUR,BALINDONG,,M
MAMAINTE,MOHAMAD,AQUIL,,"MAMAINTE, MOHAMAD AQUIL",MAYOR,LAMMP,2001,LANAO DEL SUR,BAYANG,,M
BALT,JAMAEL,PAPANDAYAN,,"BALT, JAMAEL PAPANDAYAN",VICE MAYOR,PDP-LABAN,2001,LANAO DEL SUR,BAYANG,,M
BALT,SOBAIR,CALI,,"BALT, SOBAIR CALI",COUNCILOR,INDEPENDENT,2001,LANAO DEL SUR,BAYANG,,M
LUCMAN,MONAWAR,SARIP,,"LUCMAN, MONAWAR SARIP",COUNCILOR,INDEPENDENT,2001,LANAO DEL SUR,BAYANG,,M
BALT,JUNIOR H. NOR,KIBAD,,"BALT, JUNIOR H. NOR KIBAD",COUNCILOR,INDEPENDENT,2001,LANAO DEL SUR,BAYANG,,M
PANTAO,HANIP,MUSAKARI,,"PANTAO, HANIP MUSAKARI",COUNCILOR,PMP,2001,LANAO DEL SUR,BAYANG,,M
PANGONOTAN,MACAPAGAL,BARAMBANGAN,,"PANGONOTAN, MACAPAGAL BARAMBANGAN",COUNCILOR,INDEPENDENT,2001,LANAO DEL SUR,BAYANG,,M
PANGONOTAN,JAMILAH,M.R.C.O.,,"PANGONOTAN, JAMILAH M.R.C.O.",COUNCILOR,INDEPENDENT,2001,LANAO DEL SUR,BAYANG,,F
ARIP,ARSHAD,UMPARA,,"ARIP, ARSHAD UMPARA",COUNCILOR,PDP-LABAN,2001,LANAO DEL SUR,BAYANG,,M
