year,region,province,city,position,candidate_name,party,votes
2013,armm,basilan,,"MEMBER, SANGGUNIANG PANLALAWIGAN","HATAMAN, MARWAN",LP,21216
2013,armm,basilan,,"MEMBER, SANGGUNIANG PANLALAWIGAN","SALI, PAISAL",LP,20496
2013,armm,basilan,,"MEMBER, SANGGUNIANG PANLALAWIGAN","TAHAJID, ABDULATIP",LP,18736
2013,armm,basilan,,"MEMBER, SANGGUNIANG PANLALAWIGAN","PACIO, MUNAP",LP,18040
2013,armm,basilan,,"MEMBER, SANGGUNIANG PANLALAWIGAN","MUJAHID, ABDULMUHMIN",IND,12110
2013,armm,basilan,,"MEMBER, SANGGUNIANG PANLALAWIGAN","DALAWIS, AJID",LP,10425
2013,armm,basilan,,"MEMBER, SANGGUNIANG PANLALAWIGAN","ESTAJAL, MARIAM",LAKAS,7398
2013,armm,basilan,,"MEMBER, SANGGUNIANG PANLALAWIGAN","HUSSIN, ASSAMIN",IND,3477
2013,armm,basilan,,"MEMBER, SANGGUNIANG PANLALAWIGAN","AHIRI, DENNIS",IND,1924
2013,armm,lanao-del-sur,,"MEMBER, SANGGUNIANG PANLALAWIGAN","MACARAMBON, FIAT",LP,14125
2013,armm,lanao-del-sur,,"MEMBER, SANGGUNIANG PANLALAWIGAN","GANDA, NASSER JR.",IND,13678
2013,armm,lanao-del-sur,,"MEMBER, SANGGUNIANG PANLALAWIGAN","LUCMAN, OMAR HASSAN",LP,11824
2013,armm,lanao-del-sur,,"MEMBER, SANGGUNIANG PANLALAWIGAN","GONTING, SAMINODING",PDP,9271
2013,armm,lanao-del-sur,,"MEMBER, SANGGUNIANG PANLALAWIGAN","DIRON, ASHARI",LP,8970
2013,armm,lanao-del-sur,,"MEMBER, SANGGUNIANG PANLALAWIGAN","SALIC, JERAHAM",PDP,8284
2013,armm,lanao-del-sur,,"MEMBER, SANGGUNIANG PANLALAWIGAN","ANSAO, OMAR",PDP,7274
2013,armm,lanao-del-sur,,"MEMBER, SANGGUNIANG PANLALAWIGAN","LAZIM, CASAN",IND,6089
2013,armm,lanao-del-sur,,"MEMBER, SANGGUNIANG PANLALAWIGAN","PUNDOGAR, ABDUL MOIN",PDP,5484
2013,armm,lanao-del-sur,,"MEMBER, SANGGUNIANG PANLALAWIGAN","BASMAN, NASROLLAH",LP,4464
2013,armm,lanao-del-sur,,"MEMBER, SANGGUNIANG PANLALAWIGAN","TAGO, SITTIE NORHAYA",LP,3435
2013,armm,lanao-del-sur,,"MEMBER, SANGGUNIANG PANLALAWIGAN","ALONTO, ABDULNAJEEB",IND,3358
2013,armm,lanao-del-sur,,"MEMBER, SANGGUNIANG PANLALAWIGAN","AMPATUA, PANGALAWAN",OP,2435
2013,armm,lanao-del-sur,,"MEMBER, SANGGUNIANG PANLALAWIGAN","PACASUM, PEZAYANAN",IND,1694
