region,province,city,district,position,candidate_name,party,votes
REGION V,CATANDUANES,,,VICE GOVERNOR,"ABUNDO, SHIRLEY (NPC)",NPC,59054
REGION IV A,CAVITE,,,VICE GOVERNOR,"REVILLA, RAMON JOLO III (LAKAS)",LAKAS CMD,938096
REGION VII,CEBU,,,VICE GOVERNOR,"MAGPALE, AGNES (LP)",LP,711570
REGION XII,COTABATO,,,VICE GOVERNOR,"IPONG, DODONG (IND)",IND,371777
REGION XI,DAVAO DE ORO,,,VICE GOVERNOR,"ZAMORA, WAY KURAT (LP)",LP,172086
REGION XI,DAVAO DEL NORTE,,,VICE GOVERNOR,"DUJALI, ALAN (IND)",IND,239259
REGION XI,DAVAO DEL SUR,,,VICE GOVERNOR,"ALMENDRAS, AILEEN (NPC)",NPC,129293
REGION XI,DAVAO OCCIDENTAL,,,VICE GOVERNOR,"BAUTISTA, FRANKLIN (LP)",LP,62109
REGION XI,DAVAO ORIENTAL,,,VICE GOVERNOR,"UY, NIÑO SOTERO JR. (LP)",LP,121086
REGION XIII,DINAGAT ISLANDS,,,VICE GOVERNOR,"ECLEO, BENGLEN (UNA)",UNA,23520
REGION VIII,EASTERN SAMAR,,,VICE GOVERNOR,"PICARDAL, MARCELO FERDINAND (LP)",LP,136735
REGION VI,GUIMARAS,,,VICE GOVERNOR,"GANDO, EDWARD (LP)",LP,47083
CORDILLERA ADMINISTRATIVE REGION,IFUGAO,,,VICE GOVERNOR,"GULLITIW, JOSE (IND)",IND,34248
REGION I,ILOCOS NORTE,,,VICE GOVERNOR,"BARBA, EUGENIO ANGELO (NP)",NP,211511
REGION I,ILOCOS SUR,,,VICE GOVERNOR,"SINGSON, JERRY (NP)",NP,261791
REGION VI,ILOILO,,,VICE GOVERNOR,"GARIN, CHRISTINE (NUP)",NUP,472533
REGION II,ISABELA,,,VICE GOVERNOR,"ALBANO, TONYPET (UNA)",UNA,413332
CORDILLERA ADMINISTRATIVE REGION,KALINGA,,,VICE GOVERNOR,"EDDUBA, JAMES (LAKAS)",LAKAS CMD,44705
REGION I,LA UNION,,,VICE GOVERNOR,"NISCE, AUREO (LP)",LP,290781
REGION IV A,LAGUNA,,,VICE GOVERNOR,"AGAPAY, KAREN (NP)",NP,481700
REGION X,LANAO DEL NORTE,,,VICE GOVERNOR,"ATAY, CRISTY (LP)",LP,121997
BARMM,LANAO DEL SUR,,,VICE GOVERNOR,"ADIONG, BOMBIT (LP)",LP,210125
REGION VIII,LEYTE,,,VICE GOVERNOR,"LORETO, CARLO (LP)",LP,323401
BARMM,MAGUINDANAO,,,VICE GOVERNOR,"SINSUAT, LESTER (LP)",LP,217758
REGION IV B,MARINDUQUE,,,VICE GOVERNOR,"BACORRO, ROMULO JR. (LP)",LP,61685
REGION V,MASBATE,,,VICE GOVERNOR,"REVIL, KAYE (NUP)",NUP,129012
REGION X,MISAMIS OCCIDENTAL,,,VICE GOVERNOR,"ALMONTE, JIEJIE (LP)",LP,164351
REGION X,MISAMIS ORIENTAL,,,VICE GOVERNOR,"PELAEZ, JOEY (UNA)",UNA,229991
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,,,VICE GOVERNOR,"LACWASAN, BONIFACIO JR. (IND)",IND,52350
NEGROS ISLAND REGION,NEGROS OCCIDENTAL,,,VICE GOVERNOR,"LACSON, BONG (NPC)",NPC,465781
NEGROS ISLAND REGION,NEGROS ORIENTAL,,,VICE GOVERNOR,"MACIAS, MARK (LP)",LP,272717
REGION VIII,NORTHERN SAMAR,,,VICE GOVERNOR,"LAVIN, GARY (NUP)",NUP,129281
REGION III,NUEVA ECIJA,,,VICE GOVERNOR,"PADIERNOS, GP (LP)",LP,671949
REGION II,NUEVA VIZCAYA,,,VICE GOVERNOR,"GALIMA, LAMBERT (NP)",NP,85490
REGION IV B,OCCIDENTAL MINDORO,,,VICE GOVERNOR,"ALFARO, PETER (LP)",LP,113887
REGION IV B,ORIENTAL MINDORO,,,VICE GOVERNOR,"DOLOR, BONZ (LP)",LP,233451
REGION IV B,PALAWAN,,,VICE GOVERNOR,"SOCRATES, DENNIS (PPP)",PPP,214384
REGION III,PAMPANGA,,,VICE GOVERNOR,"PINEDA, DELTA (NPC)",KAMBILAN,649425
REGION I,PANGASINAN,,,VICE GOVERNOR,"CALIMLIM, FERDIE (AKSYON)",AKSYON,554584
REGION IV A,QUEZON,,,VICE GOVERNOR,"NANTES, SAM (LP)",LP,426197
REGION II,QUIRINO,,,VICE GOVERNOR,"CALAUNAN, MAY (LP)",LP,58736
REGION IV A,RIZAL,,,VICE GOVERNOR,"SAN JUAN, REYNALDO JR. (LP)",LP,519941
REGION IV B,ROMBLON,,,VICE GOVERNOR,"RIANO, JOSE (LP)",LP,71715
REGION VIII,SAMAR,,,VICE GOVERNOR,"TAN, JIMBOY (NP)",NP,212398
REGION XII,SARANGANI,,,VICE GOVERNOR,"DE PERALTA, ELMER (PCM)",PCM,108126
REGION VII,SIQUIJOR,,,VICE GOVERNOR,"QUEZON, MEI LING (LP)",LP,26135
REGION V,SORSOGON,,,VICE GOVERNOR,"HAMOR, ESTER (IND)",IND,184578
REGION XII,SOUTH COTABATO,,,VICE GOVERNOR,"DE JESUS, VIC (LP)",LP,150350
REGION VIII,SOUTHERN LEYTE,,,VICE GOVERNOR,"YAP, COCO (LP)",LP,89324
REGION XII,SULTAN KUDARAT,,,VICE GOVERNOR,"SAKALURAN, RADEN (PTM)",AKMA-PTM,138553
BARMM,SULU,,,VICE GOVERNOR,"TAN, NURUNISAH (LP)",LP,139299
REGION XIII,SURIGAO DEL NORTE,,,VICE GOVERNOR,"EGAY, ARTURO CARLOS JR. (LP)",LP,112980
REGION XIII,SURIGAO DEL SUR,,,VICE GOVERNOR,"ALAMEDA, MANUEL SR. (LP)",LP,109881
REGION III,TARLAC,,,VICE GOVERNOR,"DAVID, CASADA (NPC)",NPC,207199
BARMM,TAWI TAWI,,,VICE GOVERNOR,"AHAJA, TATI (NUP)",NUP,68216
REGION III,ZAMBALES,,,VICE GOVERNOR,"MAGSAYSAY, ANGEL (IND)",IND,132717
REGION IX,ZAMBOANGA DEL NORTE,,,VICE GOVERNOR,"ANGELES, SENEN (LP)",LP,197520
REGION IX,ZAMBOANGA DEL SUR,,,VICE GOVERNOR,"CERILLES, ACE (LP)",LP,273961
REGION IX,ZAMBOANGA SIBUGAY,,,VICE GOVERNOR,"ALIBUTDAN, ELDWIN (LP)",LP,97295
CORDILLERA ADMINISTRATIVE REGION,ABRA,,FIRST,PROVINCIAL BOARD MEMBER,"BIDES, ELMER (LP)",LP,27830
CORDILLERA ADMINISTRATIVE REGION,ABRA,,FIRST,PROVINCIAL BOARD MEMBER,"DAYAG, ANTONIO (LP)",LP,20471
CORDILLERA ADMINISTRATIVE REGION,ABRA,,FIRST,PROVINCIAL BOARD MEMBER,"ANDANAN, NARDZ (LP)",LP,20092
CORDILLERA ADMINISTRATIVE REGION,ABRA,,FIRST,PROVINCIAL BOARD MEMBER,"GAYAO, ELMER SR. (NUP)",NUP,17038
CORDILLERA ADMINISTRATIVE REGION,ABRA,,SECOND,PROVINCIAL BOARD MEMBER,"BALBIN, LIAN (LP)",LP,35701
CORDILLERA ADMINISTRATIVE REGION,ABRA,,SECOND,PROVINCIAL BOARD MEMBER,"ALZATE, BYRONE (NUP)",NUP,30197
CORDILLERA ADMINISTRATIVE REGION,ABRA,,SECOND,PROVINCIAL BOARD MEMBER,"JENKINS, MARIA ELENA (NUP)",NUP,27472
CORDILLERA ADMINISTRATIVE REGION,ABRA,,SECOND,PROVINCIAL BOARD MEMBER,"BERSAMIN, ANNE (LP)",LP,26582
