region,province,city,district,position,candidate_name,party,votes
REGION XIII,AGUSAN DEL SUR,SAN FRANCISCO,LONE,COUNCILOR,"PALABRICA, ARTH RYAN (NUP)",NUP,15002
REGION XIII,AGUSAN DEL SUR,SAN FRANCISCO,LONE,COUNCILOR,"FUENTES, BEBOT (IND)",IND,13513
REGION XIII,AGUSAN DEL SUR,SAN FRANCISCO,LONE,COUNCILOR,"URSOS, BERNARDINO (IND)",IND,13433
REGION XIII,AGUSAN DEL SUR,SAN FRANCISCO,LONE,COUNCILOR,"RANOCO, RODELITO (NUP)",NUP,13110
REGION XIII,AGUSAN DEL SUR,SAN FRANCISCO,LONE,COUNCILOR,"TANDOG, CARLITO (IND)",IND,13101
REGION XIII,AGUSAN DEL SUR,SAN FRANCISCO,LONE,COUNCILOR,"RETUERTO, SALVADOR (IND)",IND,12637
REGION XIII,AGUSAN DEL SUR,SAN FRANCISCO,LONE,COUNCILOR,"INSON, COROY (IND)",IND,11986
REGION XIII,AGUSAN DEL SUR,SAN FRANCISCO,LONE,COUNCILOR,"DE LEON, LERRIZA (NUP)",NUP,9909
REGION XIII,AGUSAN DEL SUR,SAN LUIS,LONE,COUNCILOR,"YECYEC, LOWE (IND)",IND,5164
REGION XIII,AGUSAN DEL SUR,SAN LUIS,LONE,COUNCILOR,"YECYEC, ELY (NUP)",NUP,5119
REGION XIII,AGUSAN DEL SUR,SAN LUIS,LONE,COUNCILOR,"BORNES, BOY TEDIC (IND)",IND,5029
REGION XIII,AGUSAN DEL SUR,SAN LUIS,LONE,COUNCILOR,"YECYEC, ANABEL (NUP)",NUP,4611
REGION XIII,AGUSAN DEL SUR,SAN LUIS,LONE,COUNCILOR,"MANDUMOTAN, FRANKLIN (IND)",IND,4502
REGION XIII,AGUSAN DEL SUR,SAN LUIS,LONE,COUNCILOR,"CHUA, WAWA (NUP)",NUP,4437
REGION XIII,AGUSAN DEL SUR,SAN LUIS,LONE,COUNCILOR,"AZARCON, MILA (NUP)",NUP,4031
REGION XIII,AGUSAN DEL SUR,SAN LUIS,LONE,COUNCILOR,"CULLANTES, BEBOT (IND)",IND,3868
REGION XIII,AGUSAN DEL SUR,SANTA JOSEFA,LONE,COUNCILOR,"CASIRO, ORLY (NUP)",NUP,7821
REGION XIII,AGUSAN DEL SUR,SANTA JOSEFA,LONE,COUNCILOR,"SALISE, DAX (NUP)",NUP,7255
REGION XIII,AGUSAN DEL SUR,SANTA JOSEFA,LONE,COUNCILOR,"BANGERO, BONGBONG (NUP)",NUP,7192
REGION XIII,AGUSAN DEL SUR,SANTA JOSEFA,LONE,COUNCILOR,"ESTIGOY, CONIE (NUP)",NUP,7137
REGION XIII,AGUSAN DEL SUR,SANTA JOSEFA,LONE,COUNCILOR,"AMPARO, APOLINARIA LENIE (NUP)",NUP,7004
REGION XIII,AGUSAN DEL SUR,SANTA JOSEFA,LONE,COUNCILOR,"LICATAN, ONDOY (LP)",LP,6190
REGION XIII,AGUSAN DEL SUR,SANTA JOSEFA,LONE,COUNCILOR,"LAGONERO, JONATHAN (NUP)",NUP,5991
REGION XIII,AGUSAN DEL SUR,SANTA JOSEFA,LONE,COUNCILOR,"PULIDO, CESAR (NUP)",NUP,5972
REGION XIII,AGUSAN DEL SUR,SIBAGAT,LONE,COUNCILOR,"VILLARIVERA, DADO (NUP)",NUP,8256
REGION XIII,AGUSAN DEL SUR,SIBAGAT,LONE,COUNCILOR,"BADAJOS, PAENG (NUP)",NUP,8112
REGION XIII,AGUSAN DEL SUR,SIBAGAT,LONE,COUNCILOR,"BUAG, ROLANDO (NUP)",NUP,7270
REGION XIII,AGUSAN DEL SUR,SIBAGAT,LONE,COUNCILOR,"VALENCIA, RODOLFO (NUP)",NUP,7222
REGION XIII,AGUSAN DEL SUR,SIBAGAT,LONE,COUNCILOR,"MABASLE, FELIPE (NUP)",NUP,7034
REGION XIII,AGUSAN DEL SUR,SIBAGAT,LONE,COUNCILOR,"BENIGIAN, MARDOVIC (NUP)",NUP,7019
REGION XIII,AGUSAN DEL SUR,SIBAGAT,LONE,COUNCILOR,"DACERA, ONYOT (NUP)",NUP,6216
REGION XIII,AGUSAN DEL SUR,SIBAGAT,LONE,COUNCILOR,"MULDEZ, MARLON (IND)",IND,5490
REGION XIII,AGUSAN DEL SUR,TALACOGON,LONE,COUNCILOR,"MALIGSA, ELVIN (NUP)",NUP,9712
REGION XIII,AGUSAN DEL SUR,TALACOGON,LONE,COUNCILOR,"SAURO, CATHERINE (IND)",IND,9273
REGION XIII,AGUSAN DEL SUR,TALACOGON,LONE,COUNCILOR,"CASTROMAYOR, EDWIN (NUP)",NUP,9080
REGION XIII,AGUSAN DEL SUR,TALACOGON,LONE,COUNCILOR,"DEMEGILLO, MELCH MARION (NUP)",NUP,8811
REGION XIII,AGUSAN DEL SUR,TALACOGON,LONE,COUNCILOR,"PUGAHAN, JELYN (IND)",IND,8466
REGION XIII,AGUSAN DEL SUR,TALACOGON,LONE,COUNCILOR,"FLOREN, RENE (IND)",IND,7377
REGION XIII,AGUSAN DEL SUR,TALACOGON,LONE,COUNCILOR,"PATETE, JESUS (NUP)",NUP,6882
REGION XIII,AGUSAN DEL SUR,TALACOGON,LONE,COUNCILOR,"ROCERO, REY (NUP)",NUP,6654
REGION XIII,AGUSAN DEL SUR,TRENTO,LONE,COUNCILOR,"CALVEZ, WILLIAM (NUP)",NUP,16499
REGION XIII,AGUSAN DEL SUR,TRENTO,LONE,COUNCILOR,"MABUNGA, CHITO (IND)",IND,15328
REGION XIII,AGUSAN DEL SUR,TRENTO,LONE,COUNCILOR,"MARTE, FELIMON (NUP)",NUP,14260
REGION XIII,AGUSAN DEL SUR,TRENTO,LONE,COUNCILOR,"PAGAYON, EDCIL (NUP)",NUP,12300
REGION XIII,AGUSAN DEL SUR,TRENTO,LONE,COUNCILOR,"AGCOPRA, ARBEE (NUP)",NUP,11929
REGION XIII,AGUSAN DEL SUR,TRENTO,LONE,COUNCILOR,"DIEL, GEORGE (NUP)",NUP,11431
REGION XIII,AGUSAN DEL SUR,TRENTO,LONE,COUNCILOR,"ANDALE, LUDY (NUP)",NUP,11203
REGION XIII,AGUSAN DEL SUR,TRENTO,LONE,COUNCILOR,"LAMBERTO, PERMITA (NUP)",NUP,11195
REGION XIII,AGUSAN DEL SUR,VERUELA,LONE,COUNCILOR,"MONDEJAR, SALIMAR (NUP)",NUP,13046
REGION XIII,AGUSAN DEL SUR,VERUELA,LONE,COUNCILOR,"CAPILITAN-HAMPAC, REBECCA (NUP)",NUP,10487
REGION XIII,AGUSAN DEL SUR,VERUELA,LONE,COUNCILOR,"TANDA, HECTOR (NUP)",NUP,10466
REGION XIII,AGUSAN DEL SUR,VERUELA,LONE,COUNCILOR,"ABOLAR, JOSE GLENN (NUP)",NUP,10230
REGION XIII,AGUSAN DEL SUR,VERUELA,LONE,COUNCILOR,"BRITOS, BERN ANDREW (NUP)",NUP,9623
REGION XIII,AGUSAN DEL SUR,VERUELA,LONE,COUNCILOR,"MANLUCTAO, GERARDO (NUP)",NUP,9346
REGION XIII,AGUSAN DEL SUR,VERUELA,LONE,COUNCILOR,"SOLANO, REYNALDO (NUP)",NUP,8830
REGION XIII,AGUSAN DEL SUR,VERUELA,LONE,COUNCILOR,"MICUTUAN, ADELO (NUP)",NUP,8028
REGION VI,AKLAN,ALTAVAS,LONE,COUNCILOR,"INOCENCIO, CONFESOR III (LP)",LP,8261
REGION VI,AKLAN,ALTAVAS,LONE,COUNCILOR,"REFOL, BOTSOY (IND)",IND,7522
REGION VI,AKLAN,ALTAVAS,LONE,COUNCILOR,"REFOL, KANO (LP)",LP,6627
REGION VI,AKLAN,ALTAVAS,LONE,COUNCILOR,"DALIDA, RIC D' COR DONALD (LP)",LP,5885
REGION VI,AKLAN,ALTAVAS,LONE,COUNCILOR,"OQUENDO, ROGER (LP)",LP,5863
REGION VI,AKLAN,ALTAVAS,LONE,COUNCILOR,"PANADERO, RONNIE (LP)",LP,5805
REGION VI,AKLAN,ALTAVAS,LONE,COUNCILOR,"VILLAS, MYLAH FLOR (LP)",LP,5611
REGION VI,AKLAN,ALTAVAS,LONE,COUNCILOR,"BELARMINO, MONDAY (LP)",LP,5369
REGION VI,AKLAN,BALETE,LONE,COUNCILOR,"BELTRAN, JUN (LP)",LP,9796
REGION VI,AKLAN,BALETE,LONE,COUNCILOR,"BANTIGUE, NHONO (LP)",LP,9738
REGION VI,AKLAN,BALETE,LONE,COUNCILOR,"CLEOPE, APOL (LP)",LP,9725
REGION VI,AKLAN,BALETE,LONE,COUNCILOR,"LACHICA, PAT (LP)",LP,9626
REGION VI,AKLAN,BALETE,LONE,COUNCILOR,"YASA, BABY (LP)",LP,9537
REGION VI,AKLAN,BALETE,LONE,COUNCILOR,"FELICIANO, TOTO ROGER (LP)",LP,9527
REGION VI,AKLAN,BALETE,LONE,COUNCILOR,"RECIDORO, AGNES (LP)",LP,9359
REGION VI,AKLAN,BALETE,LONE,COUNCILOR,"DELOS REYES, LITO (LP)",LP,9107
REGION VI,AKLAN,BANGA,LONE,COUNCILOR,"FERNANDEZ, NONONG (UNA)",UNA,12280
REGION VI,AKLAN,BANGA,LONE,COUNCILOR,"MAMING, LARRY (UNA)",UNA,11785
REGION VI,AKLAN,BANGA,LONE,COUNCILOR,"RENTILLO, KAP JOHNNY (UNA)",UNA,9915
REGION VI,AKLAN,BANGA,LONE,COUNCILOR,"RATA, JOSEL (UNA)",UNA,9614
REGION VI,AKLAN,BANGA,LONE,COUNCILOR,"IMPERIAL, AIMOND (LP)",LP,9503
REGION VI,AKLAN,BANGA,LONE,COUNCILOR,"PASTRANA, ABE JR (LP)",LP,9179
REGION VI,AKLAN,BANGA,LONE,COUNCILOR,"TUPAS, TEDDY (LP)",LP,8638
REGION VI,AKLAN,BANGA,LONE,COUNCILOR,"MASANGYA, MANUEL (LP)",LP,7528
REGION VI,AKLAN,BATAN,LONE,COUNCILOR,"BAUTISTA, WILLIAM (LP)",LP,7128
REGION VI,AKLAN,BATAN,LONE,COUNCILOR,"PANADO, LIEZEL (LP)",LP,5811
REGION VI,AKLAN,BATAN,LONE,COUNCILOR,"BOLIVAR-PARCO, JOENA (NPC)",NPC,5451
REGION VI,AKLAN,BATAN,LONE,COUNCILOR,"SARCENO, DR RINA GHAGA (NPC)",NPC,5278
REGION VI,AKLAN,BATAN,LONE,COUNCILOR,"MAMAY, ADAM (LP)",LP,5214
REGION VI,AKLAN,BATAN,LONE,COUNCILOR,"DEL ROSARIO, ERIC (LP)",LP,5150
REGION VI,AKLAN,BATAN,LONE,COUNCILOR,"CORTES, EM (LP)",LP,5088
REGION VI,AKLAN,BATAN,LONE,COUNCILOR,"PERLAS, BOCAY (NPC)",NPC,5081
REGION VI,AKLAN,BURUANGA,LONE,COUNCILOR,"DUMAGUIN, FEMY (LP)",LP,5154
REGION VI,AKLAN,BURUANGA,LONE,COUNCILOR,"PANGANIBAN, MACMAC (LP)",LP,4805
REGION VI,AKLAN,BURUANGA,LONE,COUNCILOR,"DELA PEÑA, JOSEPH (LP)",LP,4408
REGION VI,AKLAN,BURUANGA,LONE,COUNCILOR,"MALAYAS, WEVENA (UNA)",UNA,4264
REGION VI,AKLAN,BURUANGA,LONE,COUNCILOR,"DUMALAOG, SIR CARLOS (LP)",LP,4064
REGION VI,AKLAN,BURUANGA,LONE,COUNCILOR,"LABINDAO, ADONIS (LP)",LP,3573
REGION VI,AKLAN,BURUANGA,LONE,COUNCILOR,"OBRIQUE, DEX (UNA)",UNA,3305
REGION VI,AKLAN,BURUANGA,LONE,COUNCILOR,"TANDOG, GREG (IND)",IND,2959
REGION VI,AKLAN,IBAJAY,LONE,COUNCILOR,"ESTOLLOSO, JULIO (LP)",LP,14276
REGION VI,AKLAN,IBAJAY,LONE,COUNCILOR,"ALAG, CYRIL (LP)",LP,13730
REGION VI,AKLAN,IBAJAY,LONE,COUNCILOR,"MAGBIRAY, EGAY SOLEDAD (LP)",LP,13353
REGION VI,AKLAN,IBAJAY,LONE,COUNCILOR,"AGUSTIN, MAMA DIVA (LP)",LP,12763
REGION VI,AKLAN,IBAJAY,LONE,COUNCILOR,"ILINON, OLOY (UNA)",UNA,12709
REGION VI,AKLAN,IBAJAY,LONE,COUNCILOR,"ASCAÑO, BENNY (LP)",LP,11561
REGION VI,AKLAN,IBAJAY,LONE,COUNCILOR,"HONTIVEROS, BOY RANO (LP)",LP,10559
REGION VI,AKLAN,IBAJAY,LONE,COUNCILOR,"COLANGOY, ELMER (LP)",LP,10127
REGION VI,AKLAN,KALIBO,LONE,COUNCILOR,"DELA CRUZ, DOC CYNTHIA (IND)",IND,20394
REGION VI,AKLAN,KALIBO,LONE,COUNCILOR,"SUCRO, JURIS (NPC)",NPC,19309
REGION VI,AKLAN,KALIBO,LONE,COUNCILOR,"BAUTISTA, MARK ACE (LP)",LP,17471
REGION VI,AKLAN,KALIBO,LONE,COUNCILOR,"QUIMPO, MARK VEGA (LP)",LP,16579
REGION VI,AKLAN,KALIBO,LONE,COUNCILOR,"BRIONES, DAISY (NPC)",NPC,16195
REGION VI,AKLAN,KALIBO,LONE,COUNCILOR,"POLICARPIO, RODILLO (NPC)",NPC,14111
REGION VI,AKLAN,KALIBO,LONE,COUNCILOR,"KIMPO, PHILLIP (LP)",LP,13416
REGION VI,AKLAN,KALIBO,LONE,COUNCILOR,"VILLANUEVA-FRENCH, BUEN JOY (LP)",LP,13115
REGION VI,AKLAN,LEZO,LONE,COUNCILOR,"FERNANDEZ, VICTOR (LP)",LP,4423
REGION VI,AKLAN,LEZO,LONE,COUNCILOR,"DELA CRUZ, LUCY (LP)",LP,4284
REGION VI,AKLAN,LEZO,LONE,COUNCILOR,"AUTENCIO, ROWEN (LP)",LP,3939
REGION VI,AKLAN,LEZO,LONE,COUNCILOR,"FLORES, ASHER (LP)",LP,3827
REGION VI,AKLAN,LEZO,LONE,COUNCILOR,"TARAN, REDENTOR (LP)",LP,3813
REGION VI,AKLAN,LEZO,LONE,COUNCILOR,"ABELLO, ROMY (LP)",LP,3555
REGION VI,AKLAN,LEZO,LONE,COUNCILOR,"ICASAS, JULLY (LP)",LP,3511
REGION VI,AKLAN,LEZO,LONE,COUNCILOR,"ARCENIO, NONOY (UNA)",UNA,3285
REGION VI,AKLAN,LIBACAO,LONE,COUNCILOR,"NAVAROSA, NAP NAP (UNA)",UNA,6233
REGION VI,AKLAN,LIBACAO,LONE,COUNCILOR,"NAVAROSA, TONTON (NPC)",NPC,6173
REGION VI,AKLAN,LIBACAO,LONE,COUNCILOR,"ZOLINA, ONOY (NPC)",NPC,4851
REGION VI,AKLAN,LIBACAO,LONE,COUNCILOR,"TEODOSIO, BENNETTE (UNA)",UNA,4589
REGION VI,AKLAN,LIBACAO,LONE,COUNCILOR,"LANCISO, MILA (AKSYON)",AKSYON,4407
REGION VI,AKLAN,LIBACAO,LONE,COUNCILOR,"NAVARRETE, DODONG (AKSYON)",AKSYON,4309
REGION VI,AKLAN,LIBACAO,LONE,COUNCILOR,"ZAPATA, BAGTO (LP)",LP,4246
REGION VI,AKLAN,LIBACAO,LONE,COUNCILOR,"ZARSA, YOYOT (AKSYON)",AKSYON,4240
REGION VI,AKLAN,MADALAG,LONE,COUNCILOR,"ORBISTA, JUN-JUN (LP)",LP,5611
REGION VI,AKLAN,MADALAG,LONE,COUNCILOR,"NAVARRA, TIDO (LP)",LP,4971
REGION VI,AKLAN,MADALAG,LONE,COUNCILOR,"GONZALES, PANOY (LP)",LP,4968
REGION VI,AKLAN,MADALAG,LONE,COUNCILOR,"INOSANTO, POP (IND)",IND,4713
REGION VI,AKLAN,MADALAG,LONE,COUNCILOR,"NALANGAN, SOFIA (LP)",LP,4570
REGION VI,AKLAN,MADALAG,LONE,COUNCILOR,"ROA, BOGOT (LP)",LP,4326
REGION VI,AKLAN,MADALAG,LONE,COUNCILOR,"NEDIC, CESAR (LP)",LP,4182
REGION VI,AKLAN,MADALAG,LONE,COUNCILOR,"LEGASPI, JOEMAR JONG (UNA)",UNA,4029
REGION VI,AKLAN,MAKATO,LONE,COUNCILOR,"AMBOBOYOG, NILO (UNA)",UNA,7650
REGION VI,AKLAN,MAKATO,LONE,COUNCILOR,"TENAZAS, BADONG (LP)",LP,6959
REGION VI,AKLAN,MAKATO,LONE,COUNCILOR,"LUMBRE, ROGER (LP)",LP,6630
REGION VI,AKLAN,MAKATO,LONE,COUNCILOR,"VARGAS, RANDY (LP)",LP,6541
REGION VI,AKLAN,MAKATO,LONE,COUNCILOR,"LEGASPI, MONMON (UNA)",UNA,6403
REGION VI,AKLAN,MAKATO,LONE,COUNCILOR,"ROLDAN, NENE RHINE (LP)",LP,6227
REGION VI,AKLAN,MAKATO,LONE,COUNCILOR,"RUSIA, COSING (LP)",LP,6127
REGION VI,AKLAN,MAKATO,LONE,COUNCILOR,"TORRES, HB (LP)",LP,5965
REGION VI,AKLAN,MALAY,LONE,COUNCILOR,"CAWALING-PADERES, NAT-NAT (NP)",NP,14375
REGION VI,AKLAN,MALAY,LONE,COUNCILOR,"GALLENERO, JUPITER AELRED (LP)",LP,13749
REGION VI,AKLAN,MALAY,LONE,COUNCILOR,"BAUTISTA, TOTO FROMY (NP)",NP,13698
REGION VI,AKLAN,MALAY,LONE,COUNCILOR,"MAMING, LLOYD (LP)",LP,12326
REGION VI,AKLAN,MALAY,LONE,COUNCILOR,"SUMNDAD, DATU YAP (NP)",NP,12087
REGION VI,AKLAN,MALAY,LONE,COUNCILOR,"AGUIRRE-GRAF, NENETTE (NP)",NP,10938
REGION VI,AKLAN,MALAY,LONE,COUNCILOR,"DELOS SANTOS, DANILO (LP)",LP,10611
REGION VI,AKLAN,MALAY,LONE,COUNCILOR,"PAGSUGUIRON, DANTE (LP)",LP,10127
REGION VI,AKLAN,MALINAO,LONE,COUNCILOR,"GARCIA, EDWIN (LP)",LP,7908
REGION VI,AKLAN,MALINAO,LONE,COUNCILOR,"ILIO, ONOY (LP)",LP,7861
REGION VI,AKLAN,MALINAO,LONE,COUNCILOR,"RONDARIO, AMPOD JOHN (LP)",LP,7412
REGION VI,AKLAN,MALINAO,LONE,COUNCILOR,"IMPERIAL, GREG (LP)",LP,7237
REGION VI,AKLAN,MALINAO,LONE,COUNCILOR,"IBARRETA, RICARDO JR (LP)",LP,6625
REGION VI,AKLAN,MALINAO,LONE,COUNCILOR,"ILDESA, BOY (LP)",LP,5662
REGION VI,AKLAN,MALINAO,LONE,COUNCILOR,"REY, FREDERICK (LP)",LP,5612
REGION VI,AKLAN,MALINAO,LONE,COUNCILOR,"ISCALA, JUN (UNA)",UNA,5587
REGION VI,AKLAN,NABAS,LONE,COUNCILOR,"NAPAT, HILBERT (IND)",IND,10377
REGION VI,AKLAN,NABAS,LONE,COUNCILOR,"PALOMATA, COGNITO SR (NPC)",NPC,8913
REGION VI,AKLAN,NABAS,LONE,COUNCILOR,"TIPGOS, RHUNA FLORES (NPC)",NPC,8506
REGION VI,AKLAN,NABAS,LONE,COUNCILOR,"PALANOG, CARMEN (LP)",LP,7777
REGION VI,AKLAN,NABAS,LONE,COUNCILOR,"LASALETA, MARIA FE (UNA)",UNA,7648
REGION VI,AKLAN,NABAS,LONE,COUNCILOR,"BANGCAYA, ZENAIDA (LP)",LP,7603
REGION VI,AKLAN,NABAS,LONE,COUNCILOR,"BOLIVAR, STEPHEN (LP)",LP,7478
REGION VI,AKLAN,NABAS,LONE,COUNCILOR,"SANTIAGO, BOREK (NPC)",NPC,7385
REGION VI,AKLAN,NEW WASHINGTON,LONE,COUNCILOR,"SUCGANG, RAUL (LP)",LP,8959
REGION VI,AKLAN,NEW WASHINGTON,LONE,COUNCILOR,"ANDRADE, GERRY (UNA)",UNA,8384
REGION VI,AKLAN,NEW WASHINGTON,LONE,COUNCILOR,"RETAMAR, MAM RETAMAR (UNA)",UNA,8205
REGION VI,AKLAN,NEW WASHINGTON,LONE,COUNCILOR,"CRISOSTOMO, SONIE (UNA)",UNA,7688
REGION VI,AKLAN,NEW WASHINGTON,LONE,COUNCILOR,"BAUTISTA, JAZEL (UNA)",UNA,7378
REGION VI,AKLAN,NEW WASHINGTON,LONE,COUNCILOR,"EQUIÑA, NONOY (LP)",LP,7296
REGION VI,AKLAN,NEW WASHINGTON,LONE,COUNCILOR,"PERUCHO, TIBOY (UNA)",UNA,7135
REGION VI,AKLAN,NEW WASHINGTON,LONE,COUNCILOR,"DELA CRUZ, JANETH (LP)",LP,6933
REGION VI,AKLAN,NUMANCIA,LONE,COUNCILOR,"COCHING, MARIEL CIELO (NPC)",NPC,8760
REGION VI,AKLAN,NUMANCIA,LONE,COUNCILOR,"VEGA, JEROME (LP)",LP,7759
REGION VI,AKLAN,NUMANCIA,LONE,COUNCILOR,"ENERO, ROGELIO II (IND)",IND,7624
REGION VI,AKLAN,NUMANCIA,LONE,COUNCILOR,"REGALADO, ADEL (LP)",LP,7573
REGION VI,AKLAN,NUMANCIA,LONE,COUNCILOR,"IBABAO, MINGGOT (LP)",LP,7224
REGION VI,AKLAN,NUMANCIA,LONE,COUNCILOR,"NEPOMUCENO, ROSE (NPC)",NPC,7145
REGION VI,AKLAN,NUMANCIA,LONE,COUNCILOR,"FERNANDEZ, PONG (LP)",LP,7075
REGION VI,AKLAN,NUMANCIA,LONE,COUNCILOR,"ILIGAN, ADOLFO (UNA)",UNA,6937
REGION VI,AKLAN,TANGALAN,LONE,COUNCILOR,"SEÑERIS, AUDIE (LP)",LP,6706
REGION VI,AKLAN,TANGALAN,LONE,COUNCILOR,"AGUIRRE, LIZER (LP)",LP,5710
REGION VI,AKLAN,TANGALAN,LONE,COUNCILOR,"ASCAÑO, PETE (LP)",LP,5399
REGION VI,AKLAN,TANGALAN,LONE,COUNCILOR,"TEFORA, NONOY (LP)",LP,5269
REGION VI,AKLAN,TANGALAN,LONE,COUNCILOR,"GELITO, EDEN (LP)",LP,5267
REGION VI,AKLAN,TANGALAN,LONE,COUNCILOR,"FERNANDEZ, PINGKOY (LP)",LP,4952
REGION VI,AKLAN,TANGALAN,LONE,COUNCILOR,"TIGSON, GLENN (LP)",LP,4861
REGION VI,AKLAN,TANGALAN,LONE,COUNCILOR,"TORIAGA, NENET (LP)",LP,4139
REGION V,ALBAY,BACACAY,LONE,COUNCILOR,"BELLEZA, EDSEL (IND)",IND,19777
REGION V,ALBAY,BACACAY,LONE,COUNCILOR,"ALVARADO, TOTO (NPC)",NPC,17656
REGION V,ALBAY,BACACAY,LONE,COUNCILOR,"BINAMIRA, ORLANDO (LP)",LP,14325
REGION V,ALBAY,BACACAY,LONE,COUNCILOR,"BERANGO, TUTUS (LP)",LP,13957
REGION V,ALBAY,BACACAY,LONE,COUNCILOR,"TORRE, GIL (LP)",LP,13394
REGION V,ALBAY,BACACAY,LONE,COUNCILOR,"BERMUNDO, DADA (IND)",IND,13390
REGION V,ALBAY,BACACAY,LONE,COUNCILOR,"TORRE, NANETTE (UNA)",UNA,12731
REGION V,ALBAY,BACACAY,LONE,COUNCILOR,"HEFTI, LITO (NPC)",NPC,12559
REGION V,ALBAY,CAMALIG,LONE,COUNCILOR,"GAMBOA, MEDEN (LP)",LP,20072
REGION V,ALBAY,CAMALIG,LONE,COUNCILOR,"VIBAR, IBET (LP)",LP,16699
REGION V,ALBAY,CAMALIG,LONE,COUNCILOR,"NUARIN, GINA (LP)",LP,15779
REGION V,ALBAY,CAMALIG,LONE,COUNCILOR,"NASAYAO, BARRY (LP)",LP,14846
REGION V,ALBAY,CAMALIG,LONE,COUNCILOR,"MALTO, POLOTO (IND)",IND,14718
REGION V,ALBAY,CAMALIG,LONE,COUNCILOR,"CAMBA, LERMA (LP)",LP,14532
REGION V,ALBAY,CAMALIG,LONE,COUNCILOR,"NUYDA, BENJIE (LP)",LP,14241
REGION V,ALBAY,CAMALIG,LONE,COUNCILOR,"MUÑOZ, NOEL (IND)",IND,12843
REGION V,ALBAY,DARAGA LOCSIN,LONE,COUNCILOR,"PERETE, VIC (LP)",LP,28142
REGION V,ALBAY,DARAGA LOCSIN,LONE,COUNCILOR,"JAUCIAN, JUNGIE (LP)",LP,26294
REGION V,ALBAY,DARAGA LOCSIN,LONE,COUNCILOR,"LLAMASARES, BUDDY (LP)",LP,23845
REGION V,ALBAY,DARAGA LOCSIN,LONE,COUNCILOR,"MONTALLANA, NEIL (LP)",LP,23306
REGION V,ALBAY,DARAGA LOCSIN,LONE,COUNCILOR,"MARCELLANA, JOEY (LP)",LP,21658
REGION V,ALBAY,DARAGA LOCSIN,LONE,COUNCILOR,"MARCELLANA, NONOY (IND)",IND,20249
REGION V,ALBAY,DARAGA LOCSIN,LONE,COUNCILOR,"COMIA, JUANITO (LP)",LP,16387
REGION V,ALBAY,DARAGA LOCSIN,LONE,COUNCILOR,"BAJAMUNDI, ARCHIE (IND)",IND,15648
REGION V,ALBAY,GUINOBATAN,LONE,COUNCILOR,"PALABRICA, LANDO (LP)",LP,22741
REGION V,ALBAY,GUINOBATAN,LONE,COUNCILOR,"FLORES, CALOY (NPC)",NPC,22482
REGION V,ALBAY,GUINOBATAN,LONE,COUNCILOR,"GARCIA, CHINO GARCIA (NPC)",NPC,21330
REGION V,ALBAY,GUINOBATAN,LONE,COUNCILOR,"PADUA, VENNY (LP)",LP,17813
REGION V,ALBAY,GUINOBATAN,LONE,COUNCILOR,"AREVALO, WILFREDO SR. (LP)",LP,17314
REGION V,ALBAY,GUINOBATAN,LONE,COUNCILOR,"MATZA, RICKY (LP)",LP,17184
REGION V,ALBAY,GUINOBATAN,LONE,COUNCILOR,"OXALES, FJ (LP)",LP,17069
REGION V,ALBAY,GUINOBATAN,LONE,COUNCILOR,"AMANO, MEGS (NPC)",NPC,16257
REGION V,ALBAY,JOVELLAR,LONE,COUNCILOR,"ARCANGEL, JOSEPH (LP)",LP,6027
REGION V,ALBAY,JOVELLAR,LONE,COUNCILOR,"ARELLANO, CEZAR (LP)",LP,5528
REGION V,ALBAY,JOVELLAR,LONE,COUNCILOR,"ENCISO, DO (LP)",LP,5522
REGION V,ALBAY,JOVELLAR,LONE,COUNCILOR,"COSME, YCINTH (IND)",IND,5458
REGION V,ALBAY,JOVELLAR,LONE,COUNCILOR,"MORALES, MELVIN (LP)",LP,5328
REGION V,ALBAY,JOVELLAR,LONE,COUNCILOR,"CLAMAR, ALEGRIA (LP)",LP,5109
REGION V,ALBAY,JOVELLAR,LONE,COUNCILOR,"QUIRONA, IPE (LP)",LP,4808
REGION V,ALBAY,JOVELLAR,LONE,COUNCILOR,"ANZANO, MICHAEL (LP)",LP,4307
REGION V,ALBAY,LEGAZPI,LONE,COUNCILOR,"BALTAZAR, VINCE (LP)",LP,55286
REGION V,ALBAY,LEGAZPI,LONE,COUNCILOR,"RAÑOLA, ALAN (LP)",LP,45052
REGION V,ALBAY,LEGAZPI,LONE,COUNCILOR,"BARIZO, AL (LP)",LP,44429
REGION V,ALBAY,LEGAZPI,LONE,COUNCILOR,"IMPERIAL, GREGORIO FERNAND (NP)",NP,43058
REGION V,ALBAY,LEGAZPI,LONE,COUNCILOR,"BUBAN, ISMAEL III (LP)",LP,42844
REGION V,ALBAY,LEGAZPI,LONE,COUNCILOR,"ABADEZA, MELISSA (LP)",LP,42073
REGION V,ALBAY,LEGAZPI,LONE,COUNCILOR,"RAMIREZ, LILIAN (LP)",LP,40284
REGION V,ALBAY,LEGAZPI,LONE,COUNCILOR,"MUÑOZ-DIMACULANGAN, BETH (LP)",LP,37955
REGION V,ALBAY,LIBON,LONE,COUNCILOR,"VELASCO, CHING (IND)",IND,18495
REGION V,ALBAY,LIBON,LONE,COUNCILOR,"VELASCO, BOBBY (NPC)",NPC,15502
