Year,Position,Last,Given,Sex
2004,VICE MAYOR,CHUA,ALBERT,M
2004,COUNCILOR,NALUPTA,RONALD,M
2004,COUNCILOR,QUIDANG,BISMARK,M
2004,COUNCILOR,GARCIA,JOEL,M
2004,COUNCILOR,GAOAT,RAMON,M
2004,COUNCILOR,AGUINALDO,MACARTHUR,M
2004,COUNCILOR,MARDERS,BERNARDO,M
2004,COUNCILOR,CAJIGAL,MARY,F
2004,COUNCILOR,CRISOSTOMO,AVELARD,M
2004,MAYOR,CAMPAÑANO,BENJAMIN,M
2004,VICE MAYOR,GARCIA,RODOLFO,M
2004,COUNCILOR,GARCIA,CRESCENTE,M
2004,COUNCILOR,JIMENEZ,JOEGIE,M
2004,COUNCILOR,SALUDARES,RENATO,M
2004,COUNCILOR,CALAPINI,JESSIE,M
2004,COUNCILOR,ESPEJO,JUANITO,M
2004,COUNCILOR,PASCUA,CHARITO,F
2004,COUNCILOR,SANTIAGO,ROLY,M
2004,COUNCILOR,ACUPIDO,JORGE,M
2004,MAYOR,FERNANDEZ,JOY,F
2004,VICE MAYOR,GASPAR,RENE,M
2004,COUNCILOR,SALNO,RODOLFO,M
2004,COUNCILOR,ABAL,CLEMENTE,M
2004,COUNCILOR,JULIAN,MENANDRO,M
2004,COUNCILOR,CARTE,MITZI,F
2004,COUNCILOR,SUEB,EDGAR,M
2004,COUNCILOR,REYES,GABRIEL,M
2004,COUNCILOR,BULIL-LIT,CORPUZ,M
2004,COUNCILOR,BANGAOAN,LIBRES,M
2004,MAYOR,GO,ROSARIO,F
2004,VICE MAYOR,RAMAJO,ERROL,M
2004,COUNCILOR,RAGUINDIN,KENT,M
2004,COUNCILOR,AGLIPAY,ISABELO,M
2004,COUNCILOR,PASCUA,ARTHUR,M
2004,COUNCILOR,GAVINO,JAMES,M
2004,COUNCILOR,GALZOTE,CESAR,M
2004,COUNCILOR,DUMLAO,REYNALDO,M
2004,COUNCILOR,FERNANDO,BERNARDO,M
2004,COUNCILOR,RAGONJAN,DEIRDREE,M
2004,MAYOR,CASTRO,ROBERTO,M
2004,VICE MAYOR,FOZ,DANILO,M
2004,COUNCILOR,CALANO,SAMUEL,M
2004,COUNCILOR,VALENZUELA,ERDIO,M
2004,COUNCILOR,TAYLAN,NATHANIEL,M
2004,COUNCILOR,BAQUIRAN,MARJORIE,F
2004,COUNCILOR,DELA CRUZ,BENIGNO,M
2004,COUNCILOR,PARADO,MELANIO,M
2004,COUNCILOR,AREVALO,JOCELYN,F
2004,COUNCILOR,GARCES,ELSIE,F
2004,MAYOR,ESPIRITU,FRANCISCO,M
2004,VICE MAYOR,AGUINALDO,ODON,M
2004,COUNCILOR,LAGUITAN,ALEJO,M
2004,COUNCILOR,RAVAL,QUIRINO,M
2004,COUNCILOR,BANCUD,DANILO,M
2004,COUNCILOR,TOMAS,FAUSTINO,M
2004,COUNCILOR,DALUSIAN,ROBERT,M
2004,COUNCILOR,CIRIACO,PEDRO,M
2004,COUNCILOR,BANABA,JUSTO,M
2004,COUNCILOR,SAMALIO,GEORGE,M
2004,MAYOR,FARIÑAS,MICHAEL,M
2004,VICE MAYOR,CHUA,JIMMY,M
2004,COUNCILOR,MANUEL,MARLON,M
2004,COUNCILOR,RANADA,YVONNE,F
2004,COUNCILOR,RESPICIO,JUAN,M
2004,COUNCILOR,RAMOS,PRIMO,M
2004,COUNCILOR,LAZO,VICENTITO,M
2004,COUNCILOR,BLANCO,RUBEN,M
2004,COUNCILOR,PERALTA,CHRISTIAN,M
2004,COUNCILOR,CABARRUBIAS,JOHN,M
2004,COUNCILOR,DELA CUESTA,MELVIN,M
2004,COUNCILOR,DANCEL,CONSTANTE,M
2004,MAYOR,PAMBID,ROGELIO,M
2004,VICE MAYOR,PILLOS,SALVADOR,M
2004,COUNCILOR,ROSQUETA,JONEL,M
2004,COUNCILOR,TAMAYO,ALICIA,F
2004,COUNCILOR,TAMAYO,CONSTANCIO,M
2004,COUNCILOR,SIMEON,WILSON,M
2004,COUNCILOR,SANTIAGO,RONALD,M
2004,COUNCILOR,GUIRA,ROMEO,M
2004,COUNCILOR,ERMITANIO,RODERICK,M
2004,COUNCILOR,LIGOT,DOMINADOR,M
2004,MAYOR,GARVIDA,CAROLINE,F
2004,VICE MAYOR,ARZADON,JOSEPH,M
2004,COUNCILOR,ARZADON,JO-ANNE,F
2004,COUNCILOR,PAHINAG,MARLON,M
2004,COUNCILOR,FARIÑAS,ARNEL,M
2004,COUNCILOR,AZURIN,ELMER,M
2004,COUNCILOR,BALAGSO,FERNANDO,M
2004,COUNCILOR,ARZADON,ROGER,M
2004,COUNCILOR,VALERA,ALEXANDER,M
2004,COUNCILOR,TAMAYO,CARLITO,M
2004,MAYOR,SALES,MARLON,M
2004,VICE MAYOR,HENSON,MATILDE,F
2004,COUNCILOR,CIMATU,EFREN,M
2004,COUNCILOR,ARINGAY,PASTOR,M
2004,COUNCILOR,CORPUZ,VICTOR,M
2004,COUNCILOR,CALVAN,MELVIN,M
2004,COUNCILOR,UBASA,EDIMAR,M
2004,COUNCILOR,VIERNES,MELVIN,M
2004,COUNCILOR,ALABANZA,BIENVENIDO,M
