year,region,province,city,position,area,candidate_name,party,votes
2010,armm,lanao-del-sur,balindong,"MEMBER, SANGGUNIANG BAYAN",LANAO DEL SUR - BALINDONG (WATU) - LONE DIST,"CAMID, MULILODA HANIL",IND,3052
2010,armm,lanao-del-sur,balindong,"MEMBER, SANGGUNIANG BAYAN",LANAO DEL SUR - BALINDONG (WATU) - LONE DIST,"SARIP, HASSANOR",OP,2777
2010,armm,lanao-del-sur,balindong,"MEMBER, SANGGUNIANG BAYAN",LANAO DEL SUR - BALINDONG (WATU) - LONE DIST,"PANGILAMUN, CAMAR",IND,2446
2010,armm,lanao-del-sur,balindong,"MEMBER, SANGGUNIANG BAYAN",LANAO DEL SUR - BALINDONG (WATU) - LONE DIST,"SIDIC, ABUBAKAR",IND,2335
2010,armm,lanao-del-sur,balindong,"MEMBER, SANGGUNIANG BAYAN",LANAO DEL SUR - BALINDONG (WATU) - LONE DIST,"MARMAY, ABULKHAYR",IND,1904
2010,armm,lanao-del-sur,balindong,"MEMBER, SANGGUNIANG BAYAN",LANAO DEL SUR - BALINDONG (WATU) - LONE DIST,"MAPIA, NABEEL",IND,1006
2010,armm,lanao-del-sur,balindong,"MEMBER, SANGGUNIANG BAYAN",LANAO DEL SUR - BALINDONG (WATU) - LONE DIST,"MACABUAT-RAMOS, SAMIA",IND,355
2010,armm,lanao-del-sur,balindong,"MEMBER, SANGGUNIANG BAYAN",LANAO DEL SUR - BALINDONG (WATU) - LONE DIST,"DATUMANONG, MACAGAAN",IND,228
2010,armm,lanao-del-sur,balindong,"MEMBER, SANGGUNIANG BAYAN",LANAO DEL SUR - BALINDONG (WATU) - LONE DIST,"MOLIA, BALMER",IND,209
2010,armm,sulu,,PROVINCIAL GOVERNOR,SULU,"TAN, ABDUSAKUR II",LP,66181
2010,armm,sulu,,PROVINCIAL GOVERNOR,SULU,"SAHIDULLA, ABDULWAHID",PDP,13278
2010,armm,sulu,,PROVINCIAL GOVERNOR,SULU,"MASIHUL, KADRA",IND,502
2010,armm,sulu,,"MEMBER, HOUSE OF REPRESENTATIVES",SULU - FIRST LEGDIST,"LOONG, TUPAY",NUP,35746
2010,armm,sulu,,"MEMBER, HOUSE OF REPRESENTATIVES",SULU - FIRST LEGDIST,"MISUARI, TARHATA",IND,9876
2010,armm,sulu,,"MEMBER, HOUSE OF REPRESENTATIVES",SULU - FIRST LEGDIST,"ISNAJI, ALVAREZ",NPC,2799
2010,armm,sulu,,"MEMBER, HOUSE OF REPRESENTATIVES",SULU - SECOND LEGDIST,"ARBISON, MARYAM",LP,17647
2010,armm,sulu,,"MEMBER, HOUSE OF REPRESENTATIVES",SULU - SECOND LEGDIST,"SAHIDULLA, NUR ANA",NPC,11991
2010,armm,sulu,,"MEMBER, SANGGUNIANG PANLALAWIGAN",SULU - FIRST PROVDIST,"IZQUIERDO, BUTCH",LP,40916
2010,armm,sulu,,"MEMBER, SANGGUNIANG PANLALAWIGAN",SULU - FIRST PROVDIST,"TULAWIE, HANIBAL",LP,30429
2010,armm,sulu,,"MEMBER, SANGGUNIANG PANLALAWIGAN",SULU - FIRST PROVDIST,"SUHURI, ISMUN LATIP",LP,30181
2010,armm,sulu,,"MEMBER, SANGGUNIANG PANLALAWIGAN",SULU - FIRST PROVDIST,"BURAHAN, BASARON",LP,29768
2010,armm,sulu,,"MEMBER, SANGGUNIANG PANLALAWIGAN",SULU - FIRST PROVDIST,"LOONG, ABUBAKAR JR.",LP,28341
2010,armm,sulu,,"MEMBER, SANGGUNIANG PANLALAWIGAN",SULU - FIRST PROVDIST,"LOONG, SHANG",NPC,8105
